campaign_id,client_id,platform,campaign_name,objective,status,daily_budget,bid_strategy,attribution_window,created_at
MC_00000017,CL_0002,Meta,Retargeting - Home Goods - Promo,Retargeting,limited,126.24,maximize_conversions,1d_click,2025-11-17 18:24:10
MC_00000018,CL_0002,Meta,Retargeting - Home Goods - Evergreen,Retargeting,active,1966.89,lowest_cost,7d_click_1d_view,2025-12-05 21:54:20
MC_00000019,CL_0002,Meta,Prospecting - Home Goods - Scale,Prospecting,active,399.86,maximize_conversions,7d_click_1d_view,2025-09-05 03:02:23
MC_00000020,CL_0002,Meta,Winback - Home Goods - Promo,Winback,paused,2400.42,cost_cap,7d_click,2025-07-25 20:26:07
GC_00000021,CL_0002,Google,Prospecting - Home Goods - Q2,Prospecting,active,313.74,lowest_cost,7d_click,2025-09-29 02:34:08
GC_00000022,CL_0002,Google,Brand Search - Home Goods - Evergreen,Brand Search,limited,1253.37,cost_cap,data_driven,2025-08-03 17:14:50
GC_00000023,CL_0002,Google,Brand Search - Home Goods - Promo,Brand Search,active,1293.24,lowest_cost,7d_click,2026-02-20 13:22:12
GC_00000024,CL_0002,Google,Brand Search - Home Goods - Evergreen,Brand Search,paused,1674.89,cost_cap,7d_click_1d_view,2025-10-12 10:37:12
GC_00000025,CL_0002,Google,Brand Search - Home Goods - Scale,Brand Search,active,969.66,target_roas,data_driven,2025-09-01 20:33:01
GC_00000026,CL_0002,Google,Shopping - Home Goods - Promo,Shopping,learning,410.75,maximize_conversions,7d_click,2025-09-22 15:42:54
GC_00000027,CL_0002,Google,Prospecting - Home Goods - Q2,Prospecting,active,177.08,lowest_cost,7d_click_1d_view,2025-12-02 11:08:22
GC_00000028,CL_0002,Google,Winback - Home Goods - Scale,Winback,active,1354.50,lowest_cost,7d_click_1d_view,2026-01-05 13:02:09
MC_00000029,CL_0003,Meta,Brand Search - Apparel - Q2,Brand Search,active,1415.91,cost_cap,7d_click,2026-01-05 06:14:50
MC_00000030,CL_0003,Meta,Shopping - Apparel - Q2,Shopping,paused,3327.62,lowest_cost,7d_click,2026-01-01 17:07:07
MC_00000031,CL_0003,Meta,Brand Search - Apparel - Promo,Brand Search,active,1742.63,lowest_cost,data_driven,2026-02-10 01:32:49
MC_00000032,CL_0003,Meta,Prospecting - Apparel - Q2,Prospecting,active,611.15,maximize_conversions,7d_click_1d_view,2025-08-14 04:35:09
MC_00000033,CL_0003,Meta,Prospecting - Apparel - Scale,Prospecting,active,985.82,target_roas,7d_click_1d_view,2025-12-29 19:12:49
MC_00000034,CL_0003,Meta,Prospecting - Apparel - Q2,Prospecting,active,2928.92,cost_cap,data_driven,2025-10-17 06:09:06
MC_00000035,CL_0003,Meta,Prospecting - Apparel - Promo,Prospecting,paused,3216.32,maximize_conversions,7d_click,2025-11-17 22:25:53
GC_00000036,CL_0003,Google,Retargeting - Apparel - Scale,Retargeting,active,1284.46,lowest_cost,7d_click,2025-09-09 21:52:09
GC_00000037,CL_0003,Google,Shopping - Apparel - Promo,Shopping,paused,1337.55,maximize_conversions,data_driven,2026-03-10 03:01:05
GC_00000038,CL_0003,Google,Brand Search - Apparel - Q2,Brand Search,active,611.62,lowest_cost,7d_click,2025-11-21 07:11:14
GC_00000039,CL_0003,Google,Prospecting - Apparel - Evergreen,Prospecting,paused,612.53,maximize_conversions,1d_click,2025-09-15 04:59:52
GC_00000040,CL_0003,Google,Winback - Apparel - Evergreen,Winback,learning,948.01,cost_cap,data_driven,2025-07-26 10:26:26
GC_00000041,CL_0003,Google,Winback - Apparel - Evergreen,Winback,active,1602.23,target_roas,data_driven,2025-11-12 21:57:50
GC_00000042,CL_0003,Google,Retargeting - Apparel - Scale,Retargeting,active,517.99,cost_cap,7d_click_1d_view,2026-02-18 15:15:27
MC_00000043,CL_0004,Meta,Retargeting - Pet Supplies - Promo,Retargeting,active,1557.65,maximize_conversions,1d_click,2026-02-13 23:57:23
MC_00000044,CL_0004,Meta,Shopping - Pet Supplies - Promo,Shopping,active,1676.90,lowest_cost,data_driven,2025-07-31 16:46:02
MC_00000045,CL_0004,Meta,Shopping - Pet Supplies - Q2,Shopping,active,2034.58,cost_cap,data_driven,2025-11-02 00:04:23
MC_00000046,CL_0004,Meta,Shopping - Pet Supplies - Promo,Shopping,learning,1490.47,cost_cap,7d_click,2025-08-17 02:58:47
MC_00000047,CL_0004,Meta,Winback - Pet Supplies - Evergreen,Winback,active,851.68,cost_cap,data_driven,2025-10-07 00:09:14
MC_00000048,CL_0004,Meta,Lookalike - Pet Supplies - Evergreen,Lookalike,active,1967.89,cost_cap,7d_click,2026-01-10 10:48:28
MC_00000049,CL_0004,Meta,Retargeting - Pet Supplies - Q2,Retargeting,paused,776.55,target_roas,1d_click,2025-09-10 14:43:00
MC_00000050,CL_0004,Meta,Winback - Pet Supplies - Q2,Winback,active,1111.68,maximize_conversions,7d_click_1d_view,2025-11-15 14:31:05
GC_00000051,CL_0004,Google,Brand Search - Pet Supplies - Evergreen,Brand Search,active,476.13,target_roas,7d_click_1d_view,2025-09-14 07:04:06
GC_00000052,CL_0004,Google,Shopping - Pet Supplies - Evergreen,Shopping,active,2287.99,lowest_cost,7d_click,2025-11-26 22:24:12
GC_00000053,CL_0004,Google,Brand Search - Pet Supplies - Scale,Brand Search,learning,147.77,lowest_cost,data_driven,2025-09-10 05:05:37
GC_00000054,CL_0004,Google,Brand Search - Pet Supplies - Scale,Brand Search,active,1704.99,maximize_conversions,1d_click,2026-01-10 21:07:40
GC_00000055,CL_0004,Google,Winback - Pet Supplies - Q2,Winback,active,977.54,lowest_cost,data_driven,2025-10-12 16:52:03
MC_00000056,CL_0005,Meta,Shopping - Food & Beverage - Scale,Shopping,active,620.73,target_roas,data_driven,2026-01-26 11:24:49
MC_00000057,CL_0005,Meta,Prospecting - Food & Beverage - Promo,Prospecting,active,370.82,cost_cap,7d_click,2025-09-02 17:21:54
MC_00000058,CL_0005,Meta,Brand Search - Food & Beverage - Scale,Brand Search,paused,642.31,lowest_cost,7d_click_1d_view,2025-09-12 09:27:05
MC_00000059,CL_0005,Meta,Prospecting - Food & Beverage - Evergreen,Prospecting,learning,336.75,maximize_conversions,7d_click_1d_view,2025-10-25 19:14:26
MC_00000060,CL_0005,Meta,Retargeting - Food & Beverage - Scale,Retargeting,active,309.62,lowest_cost,7d_click_1d_view,2025-11-16 09:44:39
MC_00000061,CL_0005,Meta,Shopping - Food & Beverage - Scale,Shopping,active,527.32,maximize_conversions,7d_click_1d_view,2026-01-02 10:23:39
MC_00000062,CL_0005,Meta,Lookalike - Food & Beverage - Evergreen,Lookalike,active,659.22,maximize_conversions,7d_click_1d_view,2025-09-13 22:35:15
GC_00000063,CL_0005,Google,Winback - Food & Beverage - Evergreen,Winback,active,141.40,cost_cap,1d_click,2025-12-13 05:01:24
GC_00000064,CL_0005,Google,Shopping - Food & Beverage - Promo,Shopping,active,725.52,maximize_conversions,7d_click,2026-02-17 22:53:28
GC_00000065,CL_0005,Google,Retargeting - Food & Beverage - Promo,Retargeting,active,336.00,target_roas,1d_click,2025-12-21 23:49:06
GC_00000066,CL_0005,Google,Prospecting - Food & Beverage - Q2,Prospecting,learning,729.58,target_roas,1d_click,2025-12-19 08:59:32
MC_00000067,CL_0006,Meta,Prospecting - Pet Supplies - Promo,Prospecting,active,1574.37,cost_cap,data_driven,2026-01-26 19:14:46
MC_00000068,CL_0006,Meta,Retargeting - Pet Supplies - Evergreen,Retargeting,active,391.85,target_roas,7d_click,2025-09-13 05:33:25
MC_00000069,CL_0006,Meta,Brand Search - Pet Supplies - Promo,Brand Search,active,597.09,lowest_cost,7d_click,2026-01-31 19:35:33
MC_00000070,CL_0006,Meta,Lookalike - Pet Supplies - Promo,Lookalike,paused,1023.53,maximize_conversions,1d_click,2025-08-15 16:18:25
MC_00000071,CL_0006,Meta,Shopping - Pet Supplies - Q2,Shopping,active,619.53,lowest_cost,data_driven,2026-01-21 12:07:33
MC_00000072,CL_0006,Meta,Prospecting - Pet Supplies - Q2,Prospecting,paused,1494.77,maximize_conversions,data_driven,2025-09-21 22:30:22
MC_00000073,CL_0006,Meta,Brand Search - Pet Supplies - Promo,Brand Search,active,693.32,cost_cap,7d_click,2026-01-03 09:34:48
MC_00000074,CL_0006,Meta,Lookalike - Pet Supplies - Q2,Lookalike,active,119.01,lowest_cost,7d_click,2025-09-20 18:32:48
GC_00000075,CL_0006,Google,Lookalike - Pet Supplies - Scale,Lookalike,active,1011.30,maximize_conversions,data_driven,2026-02-20 19:39:02
GC_00000076,CL_0006,Google,Prospecting - Pet Supplies - Scale,Prospecting,active,338.44,cost_cap,7d_click,2026-02-21 13:39:45
GC_00000077,CL_0006,Google,Winback - Pet Supplies - Evergreen,Winback,paused,1000.11,maximize_conversions,7d_click,2025-08-24 12:31:21
GC_00000078,CL_0006,Google,Prospecting - Pet Supplies - Scale,Prospecting,active,1279.61,cost_cap,7d_click_1d_view,2025-08-09 01:40:39
GC_00000079,CL_0006,Google,Prospecting - Pet Supplies - Scale,Prospecting,active,1591.96,cost_cap,7d_click_1d_view,2026-01-12 23:10:18
GC_00000080,CL_0006,Google,Lookalike - Pet Supplies - Evergreen,Lookalike,active,146.47,lowest_cost,data_driven,2025-12-25 13:54:32
MC_00000081,CL_0007,Meta,Prospecting - Fitness - Q2,Prospecting,learning,947.72,target_roas,7d_click_1d_view,2025-12-30 09:56:38
MC_00000082,CL_0007,Meta,Shopping - Fitness - Q2,Shopping,paused,2312.47,cost_cap,data_driven,2025-09-25 17:18:17
MC_00000083,CL_0007,Meta,Winback - Fitness - Q2,Winback,paused,1365.45,maximize_conversions,data_driven,2025-12-15 09:50:18
MC_00000084,CL_0007,Meta,Shopping - Fitness - Evergreen,Shopping,active,2278.51,cost_cap,1d_click,2026-01-04 09:16:23
GC_00000085,CL_0007,Google,Brand Search - Fitness - Evergreen,Brand Search,active,722.52,maximize_conversions,1d_click,2026-02-08 22:58:49
GC_00000086,CL_0007,Google,Shopping - Fitness - Scale,Shopping,active,90.63,lowest_cost,data_driven,2025-11-26 19:23:38
GC_00000087,CL_0007,Google,Winback - Fitness - Q2,Winback,limited,1456.41,lowest_cost,data_driven,2025-10-15 07:48:48
GC_00000088,CL_0007,Google,Lookalike - Fitness - Scale,Lookalike,paused,1209.61,maximize_conversions,1d_click,2025-09-13 00:00:36
MC_00000089,CL_0008,Meta,Brand Search - Home Goods - Q2,Brand Search,active,2964.20,cost_cap,data_driven,2026-03-08 23:13:43
MC_00000090,CL_0008,Meta,Lookalike - Home Goods - Q2,Lookalike,active,2428.22,maximize_conversions,7d_click,2025-09-28 02:22:50
MC_00000091,CL_0008,Meta,Shopping - Home Goods - Promo,Shopping,active,2401.41,cost_cap,7d_click,2025-10-06 18:26:16
MC_00000092,CL_0008,Meta,Shopping - Home Goods - Scale,Shopping,active,1148.81,target_roas,7d_click_1d_view,2025-10-21 13:05:48
MC_00000093,CL_0008,Meta,Prospecting - Home Goods - Evergreen,Prospecting,active,2740.55,target_roas,data_driven,2026-02-12 17:21:58
MC_00000094,CL_0008,Meta,Shopping - Home Goods - Q2,Shopping,active,1077.97,target_roas,7d_click,2025-07-28 12:01:34
MC_00000095,CL_0008,Meta,Winback - Home Goods - Scale,Winback,paused,806.52,lowest_cost,7d_click_1d_view,2025-12-23 01:03:44
MC_00000096,CL_0008,Meta,Brand Search - Home Goods - Scale,Brand Search,active,1101.83,lowest_cost,7d_click,2025-07-20 09:34:55
GC_00000097,CL_0008,Google,Retargeting - Home Goods - Promo,Retargeting,learning,2723.40,lowest_cost,7d_click_1d_view,2025-11-02 01:55:57
GC_00000098,CL_0008,Google,Prospecting - Home Goods - Scale,Prospecting,active,3266.91,target_roas,7d_click_1d_view,2025-09-11 17:02:38
GC_00000099,CL_0008,Google,Lookalike - Home Goods - Promo,Lookalike,active,646.77,cost_cap,data_driven,2025-12-09 20:38:43
GC_00000100,CL_0008,Google,Retargeting - Home Goods - Q2,Retargeting,paused,1140.87,target_roas,7d_click,2026-02-27 04:01:37
MC_00000101,CL_0009,Meta,Prospecting - Jewelry - Scale,Prospecting,active,1401.64,target_roas,7d_click_1d_view,2026-03-11 18:54:47
MC_00000102,CL_0009,Meta,Brand Search - Jewelry - Scale,Brand Search,active,88.24,lowest_cost,7d_click,2025-12-21 11:55:45
MC_00000103,CL_0009,Meta,Winback - Jewelry - Evergreen,Winback,active,671.06,target_roas,7d_click_1d_view,2025-09-15 02:47:32
MC_00000104,CL_0009,Meta,Retargeting - Jewelry - Promo,Retargeting,limited,116.52,maximize_conversions,7d_click,2026-01-14 19:56:52
MC_00000105,CL_0009,Meta,Prospecting - Jewelry - Scale,Prospecting,active,126.04,lowest_cost,1d_click,2025-10-31 01:30:23
GC_00000106,CL_0009,Google,Brand Search - Jewelry - Promo,Brand Search,paused,1385.48,target_roas,1d_click,2025-11-05 23:37:55
GC_00000107,CL_0009,Google,Winback - Jewelry - Promo,Winback,active,1088.86,maximize_conversions,1d_click,2025-10-17 23:42:08
GC_00000108,CL_0009,Google,Lookalike - Jewelry - Promo,Lookalike,limited,1255.74,cost_cap,1d_click,2026-01-28 00:37:04
GC_00000109,CL_0009,Google,Lookalike - Jewelry - Evergreen,Lookalike,active,136.12,lowest_cost,data_driven,2026-01-15 17:27:39
GC_00000110,CL_0009,Google,Winback - Jewelry - Q2,Winback,active,480.45,lowest_cost,7d_click_1d_view,2025-10-15 07:51:00
GC_00000111,CL_0009,Google,Lookalike - Jewelry - Promo,Lookalike,active,1510.66,target_roas,data_driven,2025-12-12 06:52:08
GC_00000112,CL_0009,Google,Brand Search - Jewelry - Q2,Brand Search,active,1446.55,target_roas,data_driven,2025-08-20 04:23:37
GC_00000113,CL_0009,Google,Brand Search - Jewelry - Q2,Brand Search,active,1456.96,lowest_cost,7d_click,2026-02-04 13:39:13
MC_00000114,CL_0010,Meta,Lookalike - Supplements - Evergreen,Lookalike,active,2067.40,cost_cap,7d_click,2026-02-01 07:53:59
MC_00000115,CL_0010,Meta,Brand Search - Supplements - Scale,Brand Search,active,281.00,lowest_cost,1d_click,2025-09-01 08:43:38
MC_00000116,CL_0010,Meta,Winback - Supplements - Promo,Winback,paused,2206.07,maximize_conversions,7d_click,2025-09-28 01:10:10
MC_00000117,CL_0010,Meta,Brand Search - Supplements - Scale,Brand Search,active,2539.45,cost_cap,1d_click,2025-10-21 23:19:01
MC_00000118,CL_0010,Meta,Lookalike - Supplements - Scale,Lookalike,active,2684.57,maximize_conversions,7d_click_1d_view,2025-09-07 02:14:05
MC_00000119,CL_0010,Meta,Winback - Supplements - Q2,Winback,limited,2202.36,lowest_cost,7d_click_1d_view,2025-09-21 01:41:02
MC_00000120,CL_0010,Meta,Lookalike - Supplements - Evergreen,Lookalike,limited,1840.38,maximize_conversions,1d_click,2026-01-28 12:56:57
MC_00000121,CL_0010,Meta,Winback - Supplements - Evergreen,Winback,active,1622.08,lowest_cost,1d_click,2026-03-06 09:52:30
GC_00000122,CL_0010,Google,Shopping - Supplements - Evergreen,Shopping,limited,208.74,lowest_cost,1d_click,2025-07-16 12:23:57
GC_00000123,CL_0010,Google,Brand Search - Supplements - Promo,Brand Search,active,3133.50,target_roas,data_driven,2025-11-28 04:37:53
GC_00000124,CL_0010,Google,Shopping - Supplements - Promo,Shopping,active,414.30,cost_cap,7d_click_1d_view,2025-10-15 08:15:20
GC_00000125,CL_0010,Google,Lookalike - Supplements - Evergreen,Lookalike,active,1606.48,cost_cap,7d_click_1d_view,2025-11-16 10:46:08
GC_00000126,CL_0010,Google,Lookalike - Supplements - Evergreen,Lookalike,active,2883.70,target_roas,7d_click,2025-07-23 16:18:30
MC_00000127,CL_0011,Meta,Prospecting - Beauty - Promo,Prospecting,active,640.26,cost_cap,data_driven,2025-10-04 14:44:33
MC_00000128,CL_0011,Meta,Prospecting - Beauty - Promo,Prospecting,paused,2183.16,target_roas,1d_click,2025-08-11 10:37:55
MC_00000129,CL_0011,Meta,Winback - Beauty - Q2,Winback,active,1063.89,maximize_conversions,7d_click,2025-08-18 06:59:00
MC_00000130,CL_0011,Meta,Retargeting - Beauty - Evergreen,Retargeting,active,418.91,maximize_conversions,7d_click_1d_view,2025-12-05 02:45:57
MC_00000131,CL_0011,Meta,Prospecting - Beauty - Evergreen,Prospecting,active,1422.36,target_roas,1d_click,2025-11-30 05:55:35
GC_00000132,CL_0011,Google,Shopping - Beauty - Scale,Shopping,paused,1934.06,target_roas,1d_click,2025-07-25 12:08:30
GC_00000133,CL_0011,Google,Prospecting - Beauty - Evergreen,Prospecting,active,729.12,lowest_cost,7d_click_1d_view,2025-12-31 19:28:07
GC_00000134,CL_0011,Google,Retargeting - Beauty - Q2,Retargeting,active,2186.54,lowest_cost,7d_click_1d_view,2025-08-25 16:10:31
GC_00000135,CL_0011,Google,Retargeting - Beauty - Q2,Retargeting,active,1646.54,target_roas,7d_click,2026-01-11 08:09:12
GC_00000136,CL_0011,Google,Retargeting - Beauty - Scale,Retargeting,active,216.52,cost_cap,7d_click,2026-02-22 08:33:01
MC_00000137,CL_0012,Meta,Brand Search - Supplements - Scale,Brand Search,learning,1758.51,maximize_conversions,data_driven,2025-11-06 11:52:10
MC_00000138,CL_0012,Meta,Brand Search - Supplements - Evergreen,Brand Search,paused,1486.54,lowest_cost,data_driven,2026-01-03 00:58:05
MC_00000139,CL_0012,Meta,Winback - Supplements - Q2,Winback,active,2326.47,lowest_cost,1d_click,2026-01-25 08:01:02
MC_00000140,CL_0012,Meta,Prospecting - Supplements - Promo,Prospecting,active,1614.23,maximize_conversions,data_driven,2026-01-28 13:27:03
MC_00000141,CL_0012,Meta,Winback - Supplements - Scale,Winback,paused,1321.71,cost_cap,data_driven,2025-11-15 10:01:21
MC_00000142,CL_0012,Meta,Winback - Supplements - Evergreen,Winback,active,250.58,target_roas,7d_click_1d_view,2026-01-18 08:56:28
MC_00000143,CL_0012,Meta,Prospecting - Supplements - Promo,Prospecting,active,1947.09,maximize_conversions,1d_click,2025-11-27 17:00:50
MC_00000144,CL_0012,Meta,Winback - Supplements - Evergreen,Winback,active,348.37,target_roas,1d_click,2025-08-18 06:40:27
GC_00000145,CL_0012,Google,Prospecting - Supplements - Q2,Prospecting,paused,1846.76,target_roas,data_driven,2026-01-16 16:40:39
GC_00000146,CL_0012,Google,Retargeting - Supplements - Evergreen,Retargeting,active,1594.75,target_roas,1d_click,2026-01-16 02:03:45
GC_00000147,CL_0012,Google,Shopping - Supplements - Promo,Shopping,active,1023.69,maximize_conversions,data_driven,2025-12-08 02:58:07
GC_00000148,CL_0012,Google,Prospecting - Supplements - Evergreen,Prospecting,active,1001.63,cost_cap,1d_click,2025-10-29 02:17:55
GC_00000149,CL_0012,Google,Prospecting - Supplements - Evergreen,Prospecting,active,675.70,target_roas,7d_click,2026-01-25 11:46:43
GC_00000150,CL_0012,Google,Shopping - Supplements - Evergreen,Shopping,active,1403.45,cost_cap,data_driven,2025-11-18 23:05:47
MC_00000151,CL_0013,Meta,Brand Search - Jewelry - Scale,Brand Search,active,854.09,maximize_conversions,1d_click,2025-11-29 14:45:20
MC_00000152,CL_0013,Meta,Brand Search - Jewelry - Q2,Brand Search,active,1766.51,lowest_cost,7d_click,2026-01-27 17:21:21
MC_00000153,CL_0013,Meta,Shopping - Jewelry - Evergreen,Shopping,active,647.01,lowest_cost,1d_click,2025-10-27 01:52:59
MC_00000154,CL_0013,Meta,Winback - Jewelry - Q2,Winback,active,298.95,cost_cap,7d_click,2026-01-06 08:36:06
MC_00000155,CL_0013,Meta,Shopping - Jewelry - Promo,Shopping,limited,1558.38,cost_cap,1d_click,2025-12-17 14:48:44
GC_00000156,CL_0013,Google,Winback - Jewelry - Scale,Winback,active,236.64,lowest_cost,7d_click_1d_view,2025-11-05 11:54:58
GC_00000157,CL_0013,Google,Retargeting - Jewelry - Scale,Retargeting,active,1147.26,maximize_conversions,7d_click_1d_view,2025-07-31 21:28:41
GC_00000158,CL_0013,Google,Shopping - Jewelry - Evergreen,Shopping,learning,3222.21,maximize_conversions,1d_click,2025-08-24 20:17:54
GC_00000159,CL_0013,Google,Shopping - Jewelry - Evergreen,Shopping,paused,1037.82,target_roas,7d_click_1d_view,2026-03-02 17:47:13
MC_00000160,CL_0014,Meta,Lookalike - Baby - Promo,Lookalike,limited,1886.58,cost_cap,7d_click,2025-08-16 19:32:13
MC_00000161,CL_0014,Meta,Lookalike - Baby - Q2,Lookalike,paused,925.19,target_roas,7d_click,2026-01-23 03:42:10
MC_00000162,CL_0014,Meta,Lookalike - Baby - Q2,Lookalike,active,994.10,cost_cap,1d_click,2025-08-17 03:14:11
MC_00000163,CL_0014,Meta,Brand Search - Baby - Q2,Brand Search,learning,1057.56,maximize_conversions,data_driven,2025-10-16 05:07:45
MC_00000164,CL_0014,Meta,Prospecting - Baby - Scale,Prospecting,learning,840.34,cost_cap,data_driven,2025-07-17 19:08:31
MC_00000165,CL_0014,Meta,Lookalike - Baby - Scale,Lookalike,paused,1144.18,maximize_conversions,7d_click_1d_view,2025-09-06 03:39:25
MC_00000166,CL_0014,Meta,Retargeting - Baby - Scale,Retargeting,active,2898.14,target_roas,data_driven,2026-03-06 23:45:37
GC_00000167,CL_0014,Google,Shopping - Baby - Scale,Shopping,active,683.40,maximize_conversions,data_driven,2025-11-05 18:09:53
GC_00000168,CL_0014,Google,Brand Search - Baby - Q2,Brand Search,paused,919.30,cost_cap,1d_click,2025-10-28 06:59:46
GC_00000169,CL_0014,Google,Prospecting - Baby - Evergreen,Prospecting,paused,2879.96,cost_cap,7d_click,2025-08-17 02:29:31
GC_00000170,CL_0014,Google,Brand Search - Baby - Evergreen,Brand Search,active,2977.45,cost_cap,1d_click,2025-10-22 05:26:05
MC_00000171,CL_0015,Meta,Retargeting - Jewelry - Q2,Retargeting,paused,1584.56,cost_cap,1d_click,2025-10-26 11:10:20
MC_00000172,CL_0015,Meta,Shopping - Jewelry - Scale,Shopping,active,2901.01,cost_cap,data_driven,2026-01-31 20:38:07
MC_00000173,CL_0015,Meta,Lookalike - Jewelry - Promo,Lookalike,active,3097.97,cost_cap,7d_click_1d_view,2026-02-26 16:07:41
MC_00000174,CL_0015,Meta,Prospecting - Jewelry - Q2,Prospecting,active,258.77,target_roas,data_driven,2026-01-19 12:41:44
MC_00000175,CL_0015,Meta,Shopping - Jewelry - Q2,Shopping,active,1790.96,target_roas,7d_click_1d_view,2026-01-26 05:48:25
MC_00000176,CL_0015,Meta,Prospecting - Jewelry - Promo,Prospecting,paused,3332.92,target_roas,data_driven,2025-08-06 05:37:52
MC_00000177,CL_0015,Meta,Winback - Jewelry - Promo,Winback,active,267.31,target_roas,7d_click_1d_view,2026-02-26 19:30:43
MC_00000178,CL_0015,Meta,Retargeting - Jewelry - Evergreen,Retargeting,active,2407.93,cost_cap,data_driven,2025-12-18 14:37:39
GC_00000179,CL_0015,Google,Prospecting - Jewelry - Scale,Prospecting,active,2061.47,maximize_conversions,7d_click,2025-08-30 23:56:30
GC_00000180,CL_0015,Google,Brand Search - Jewelry - Evergreen,Brand Search,active,2074.09,cost_cap,data_driven,2025-10-08 12:11:34
GC_00000181,CL_0015,Google,Retargeting - Jewelry - Scale,Retargeting,active,2365.67,target_roas,1d_click,2025-07-29 01:35:20
GC_00000182,CL_0015,Google,Shopping - Jewelry - Q2,Shopping,paused,1118.05,cost_cap,7d_click_1d_view,2025-07-15 12:09:24
GC_00000183,CL_0015,Google,Lookalike - Jewelry - Q2,Lookalike,learning,2781.93,cost_cap,1d_click,2025-09-07 16:04:59
GC_00000184,CL_0015,Google,Brand Search - Jewelry - Scale,Brand Search,paused,1066.79,lowest_cost,data_driven,2026-01-31 08:08:47
MC_00000185,CL_0016,Meta,Shopping - Home Goods - Scale,Shopping,active,587.39,lowest_cost,7d_click,2025-12-24 19:53:04
MC_00000186,CL_0016,Meta,Retargeting - Home Goods - Q2,Retargeting,paused,532.35,target_roas,7d_click_1d_view,2025-08-09 06:55:47
MC_00000187,CL_0016,Meta,Prospecting - Home Goods - Evergreen,Prospecting,active,586.01,lowest_cost,7d_click_1d_view,2025-10-14 23:35:18
MC_00000188,CL_0016,Meta,Winback - Home Goods - Evergreen,Winback,active,778.71,target_roas,data_driven,2025-10-18 20:47:23
MC_00000189,CL_0016,Meta,Retargeting - Home Goods - Q2,Retargeting,paused,304.11,target_roas,data_driven,2026-03-06 17:14:17
MC_00000190,CL_0016,Meta,Prospecting - Home Goods - Q2,Prospecting,learning,534.35,cost_cap,1d_click,2025-07-28 17:09:03
GC_00000191,CL_0016,Google,Retargeting - Home Goods - Promo,Retargeting,active,752.04,maximize_conversions,7d_click_1d_view,2025-10-27 23:32:49
GC_00000192,CL_0016,Google,Brand Search - Home Goods - Promo,Brand Search,active,523.63,target_roas,7d_click,2025-07-18 20:44:53
GC_00000193,CL_0016,Google,Brand Search - Home Goods - Promo,Brand Search,active,331.29,target_roas,7d_click,2025-10-16 16:41:24
GC_00000194,CL_0016,Google,Brand Search - Home Goods - Q2,Brand Search,active,654.65,cost_cap,7d_click_1d_view,2025-10-09 06:01:15
GC_00000195,CL_0016,Google,Shopping - Home Goods - Q2,Shopping,active,722.86,target_roas,7d_click,2026-01-21 13:14:30
GC_00000196,CL_0016,Google,Brand Search - Home Goods - Evergreen,Brand Search,active,746.06,lowest_cost,data_driven,2026-01-07 16:22:50
GC_00000197,CL_0016,Google,Brand Search - Home Goods - Q2,Brand Search,active,264.73,maximize_conversions,7d_click,2025-07-23 14:07:40
