order_id,client_id,customer_id,email_hash,order_ts,order_value,discount_used,discount_amount,payment_status,fulfillment_status,sales_channel
SO_000000028,CL_0001,CU_CL_0001_000608,em_fa404e764c08890f1fa9,2026-04-27 02:40:57,138.10,false,0.00,paid,fulfilled,shop_app
SO_000000029,CL_0001,CU_CL_0001_000762,em_ce93ef52aa2a89950a60,2026-04-09 17:29:44,86.95,false,0.00,paid,fulfilled,shop_app
SO_000000030,CL_0001,CU_CL_0001_000189,em_0d5c4e56648ced6ce617,2026-04-24 00:06:06,99.71,true,28.37,paid,partial,online_store
SO_000000031,CL_0001,CU_CL_0001_000190,em_d3c79ce7066d1acf232d,2026-04-18 21:55:46,37.28,false,0.00,paid,fulfilled,online_store
SO_000000032,CL_0001,CU_CL_0001_000136,em_6bf4a0b4cd41374b8573,2026-03-23 19:59:22,40.03,false,0.00,paid,fulfilled,online_store
SO_000000033,CL_0001,CU_CL_0001_000300,em_307e5b5737e3be7fbc69,2026-04-10 04:55:02,69.05,false,0.00,paid,fulfilled,online_store
SO_000000034,CL_0001,CU_CL_0001_000314,em_31559712359139feda07,2026-06-07 18:58:37,49.49,false,0.00,paid,fulfilled,online_store
SO_000000035,CL_0001,CU_CL_0001_000630,em_3970ed70a43ea21357a5,2026-04-09 13:01:46,74.68,false,0.00,paid,fulfilled,online_store
SO_000000036,CL_0001,CU_CL_0001_000701,em_132c0dc599551a4796f9,2026-05-17 09:20:23,31.10,true,8.93,paid,partial,online_store
SO_000000037,CL_0001,CU_CL_0001_000368,em_f3278d0211ba32a556b8,2026-05-07 03:33:20,24.53,true,3.21,paid,fulfilled,shop_app
SO_000000038,CL_0001,CU_CL_0001_000513,em_393ab207cdbca9969c10,2026-03-20 10:21:11,29.17,true,2.01,paid,fulfilled,shop_app
SO_000000039,CL_0001,CU_CL_0001_000343,em_1ee477e993ccb0142a57,2026-05-02 19:38:36,37.34,false,0.00,paid,fulfilled,online_store
SO_000000040,CL_0001,CU_CL_0001_000756,em_d6b3de731d91b66995e3,2026-05-18 22:06:44,59.03,false,0.00,paid,unfulfilled,online_store
SO_000000041,CL_0001,CU_CL_0001_000072,em_5c58500212c51a372637,2026-04-25 00:07:05,38.50,false,0.00,paid,fulfilled,online_store
SO_000000042,CL_0001,CU_CL_0001_000182,em_3c15c7c0ba2680db3016,2026-06-06 21:25:29,59.21,false,0.00,paid,fulfilled,online_store
SO_000000043,CL_0001,CU_CL_0001_000451,em_ad375821a9f5f8af35e6,2026-05-27 23:51:36,29.60,false,0.00,paid,fulfilled,online_store
SO_000000044,CL_0001,CU_CL_0001_000295,em_4c3496f4b6351b527cbe,2026-04-30 17:45:01,41.91,false,0.00,paid,fulfilled,online_store
SO_000000045,CL_0001,CU_CL_0001_000115,em_76ad1c74dd0ec5c37aa3,2026-04-29 06:06:29,145.58,true,18.65,paid,fulfilled,amazon
SO_000000046,CL_0001,CU_CL_0001_000102,em_05b43937dcab69d1e013,2026-04-14 13:10:58,109.03,true,13.57,paid,fulfilled,online_store
SO_000000047,CL_0001,CU_CL_0001_000008,em_53a6fbca773295d4e12a,2026-04-13 17:01:56,25.39,true,5.79,paid,fulfilled,shop_app
SO_000000048,CL_0001,CU_CL_0001_000099,em_555642bd2c691d3f27b8,2026-05-13 16:20:04,128.10,false,0.00,paid,fulfilled,online_store
SO_000000049,CL_0001,CU_CL_0001_000333,em_fc14cb33e5833d303475,2026-04-01 03:26:37,175.73,false,0.00,paid,fulfilled,online_store
SO_000000050,CL_0001,CU_CL_0001_000558,em_5a54b9dbc7f211b618e1,2026-03-16 16:19:42,77.37,true,21.14,paid,fulfilled,online_store
SO_000000051,CL_0001,CU_CL_0001_000054,em_6d3e0894fd133812dd26,2026-05-23 14:19:24,59.20,false,0.00,paid,fulfilled,online_store
SO_000000052,CL_0001,CU_CL_0001_000703,em_fe588a5378aa601734eb,2026-03-12 22:10:15,38.50,false,0.00,paid,fulfilled,amazon
SO_000000053,CL_0001,CU_CL_0001_000254,em_131f53d08110494b9c85,2026-05-09 18:53:32,27.74,false,0.00,paid,fulfilled,online_store
SO_000000054,CL_0001,CU_CL_0001_000728,em_5d3362b93559cffc4ee2,2026-05-13 03:30:51,31.47,true,8.56,paid,fulfilled,online_store
SO_000000055,CL_0001,CU_CL_0001_000226,em_31116ffa770c87eee3f6,2026-06-03 06:13:39,38.50,false,0.00,paid,fulfilled,amazon
SO_000000056,CL_0001,CU_CL_0001_000621,em_5ac3172d2c17f6b050de,2026-05-19 16:24:57,38.50,false,0.00,paid,partial,online_store
SO_000000057,CL_0001,CU_CL_0001_000652,em_3d98e01a3df991f763e3,2026-04-25 03:25:00,29.60,false,0.00,paid,fulfilled,online_store
SO_000000058,CL_0001,CU_CL_0001_000640,em_f5642aceb0c69b9b2e2d,2026-04-24 05:01:46,102.30,false,0.00,paid,fulfilled,online_store
SO_000000059,CL_0001,CU_CL_0001_000474,em_55252d9537650d9219a6,2026-05-09 16:48:51,100.12,true,22.46,paid,fulfilled,online_store
SO_000000060,CL_0001,CU_CL_0001_000764,em_5b2d14342e1118439900,2026-03-13 02:02:52,79.99,true,12.49,paid,partial,online_store
SO_000000061,CL_0001,CU_CL_0001_000288,em_9e7eec6b58f1c5887815,2026-06-04 07:43:30,33.75,true,5.55,paid,fulfilled,online_store
SO_000000062,CL_0001,CU_CL_0001_000694,em_74ec330cc305e59fdf28,2026-05-10 07:29:43,75.78,false,0.00,paid,fulfilled,online_store
SO_000000063,CL_0001,CU_CL_0001_000133,em_da254a465496e39b5327,2026-05-27 20:50:40,100.23,false,0.00,paid,fulfilled,shop_app
SO_000000064,CL_0001,CU_CL_0001_000159,em_14eae2ecc7d5edf3e81c,2026-05-12 11:29:15,61.30,false,0.00,paid,fulfilled,online_store
SO_000000065,CL_0001,CU_CL_0001_000286,em_c49f36542d9df441178d,2026-05-18 09:04:54,34.87,true,7.04,paid,partial,online_store
SO_000000066,CL_0001,CU_CL_0001_000422,em_1b1b3593396984c66b7b,2026-05-02 03:12:14,256.54,false,0.00,paid,fulfilled,online_store
SO_000000067,CL_0001,CU_CL_0001_000574,em_98d46699129d66607a26,2026-06-03 17:20:11,29.60,false,0.00,paid,fulfilled,online_store
SO_000000068,CL_0001,CU_CL_0001_000429,em_c91850f82521866393d2,2026-05-16 01:26:03,59.21,false,0.00,paid,fulfilled,online_store
SO_000000069,CL_0001,CU_CL_0001_000007,em_a5c6b5cd483aa5d1e03d,2026-05-01 02:04:37,81.21,false,0.00,paid,fulfilled,tiktok_shop
SO_000000070,CL_0001,CU_CL_0001_000737,em_d1e38320b498d033551a,2026-05-23 17:05:54,149.29,false,0.00,paid,fulfilled,online_store
SO_000000071,CL_0001,CU_CL_0001_000557,em_02b46a84842592d74474,2026-05-02 05:28:27,131.39,true,18.20,paid,fulfilled,online_store
SO_000000072,CL_0001,CU_CL_0001_000444,em_10175cea41405d19b34c,2026-04-10 03:45:03,35.32,true,1.96,paid,fulfilled,online_store
SO_000000073,CL_0001,CU_CL_0001_000167,em_44e143b19bb5799a40f7,2026-05-28 06:28:50,118.39,false,0.00,paid,fulfilled,online_store
SO_000000074,CL_0001,CU_CL_0001_000573,em_465e604d8e0ea0a62efe,2026-04-17 08:16:53,87.99,false,0.00,paid,fulfilled,online_store
SO_000000075,CL_0001,CU_CL_0001_000038,em_ee2b3928561ffb000fce,2026-05-31 08:27:45,29.60,false,0.00,paid,unfulfilled,online_store
SO_000000076,CL_0001,CU_CL_0001_000434,em_f807f021da5c8b11d0c3,2026-04-24 05:28:29,59.03,false,0.00,paid,fulfilled,shop_app
SO_000000077,CL_0001,CU_CL_0001_000144,em_4cc1fc25c82e87e753c1,2026-05-31 11:07:20,37.97,true,11.52,paid,fulfilled,online_store
SO_000000078,CL_0001,CU_CL_0001_000243,em_414e2dfcaa5a3462d59c,2026-05-13 02:24:57,61.30,false,0.00,paid,fulfilled,online_store
SO_000000079,CL_0001,CU_CL_0001_000441,em_2f31dcc87f8f217d8e7a,2026-04-03 09:21:57,242.71,true,23.65,paid,fulfilled,online_store
SO_000000080,CL_0001,CU_CL_0001_000167,em_44e143b19bb5799a40f7,2026-03-13 22:13:01,23.24,true,4.50,paid,fulfilled,shop_app
SO_000000081,CL_0001,CU_CL_0001_000572,em_a1c0d58fc24efdf1da6d,2026-04-02 18:33:41,177.09,false,0.00,paid,fulfilled,amazon
SO_000000082,CL_0001,CU_CL_0001_000099,em_555642bd2c691d3f27b8,2026-04-22 09:37:48,118.56,false,0.00,paid,fulfilled,online_store
SO_000000083,CL_0001,CU_CL_0001_000569,em_03600872775990e88752,2026-05-02 17:37:57,32.67,true,4.61,paid,fulfilled,shop_app
SO_000000084,CL_0001,CU_CL_0001_000091,em_e41651db5037c83847a1,2026-03-21 05:39:13,39.30,false,0.00,paid,fulfilled,online_store
SO_000000085,CL_0001,CU_CL_0001_000232,em_b96baee15cbd60a39e9a,2026-05-10 09:48:05,27.74,false,0.00,paid,fulfilled,online_store
SO_000000086,CL_0001,CU_CL_0001_000200,em_708e1bde11589919b31a,2026-05-23 16:03:20,118.42,false,0.00,paid,fulfilled,online_store
SO_000000087,CL_0001,CU_CL_0001_000344,em_4a39607fc52458d0eaf0,2026-04-07 22:11:44,101.33,false,0.00,paid,fulfilled,online_store
SO_000000088,CL_0001,CU_CL_0001_000525,em_e67a961cf556c18aa14a,2026-04-21 18:02:22,59.03,false,0.00,paid,fulfilled,shop_app
SO_000000089,CL_0001,CU_CL_0001_000525,em_e67a961cf556c18aa14a,2026-03-30 04:11:15,25.97,true,5.21,paid,fulfilled,online_store
SO_000000090,CL_0001,CU_CL_0001_000194,em_943a49fae3c84867c18e,2026-05-06 12:50:34,31.18,false,0.00,paid,fulfilled,online_store
SO_000000091,CL_0001,CU_CL_0001_000593,em_6a7aa8c98c1ba9025147,2026-05-13 14:57:01,59.03,false,0.00,paid,fulfilled,shop_app
SO_000000092,CL_0001,CU_CL_0001_000020,em_994be00fe811c6302dc9,2026-05-20 05:19:05,38.50,false,0.00,paid,fulfilled,shop_app
SO_000000093,CL_0001,CU_CL_0001_000364,em_9bd2e9bb0f78e86d0cc7,2026-05-26 17:51:21,31.18,false,0.00,paid,partial,online_store
SO_000000094,CL_0001,CU_CL_0001_000715,em_af153c12a91deb967d14,2026-04-10 01:30:32,38.50,false,0.00,paid,partial,online_store
SO_000000095,CL_0001,CU_CL_0001_000173,em_3aaa00bedd3d74faa5fc,2026-03-15 08:35:27,144.60,true,44.78,paid,fulfilled,online_store
SO_000000096,CL_0001,CU_CL_0001_000083,em_4bc0151b049ecd5867ae,2026-05-20 17:02:27,34.59,true,4.71,paid,fulfilled,online_store
SO_000000097,CL_0001,CU_CL_0001_000583,em_3c43f6c659ee0954620b,2026-05-22 04:36:03,118.42,false,0.00,partially_refunded,fulfilled,online_store
SO_000000098,CL_0001,CU_CL_0001_000587,em_5c77501a458ab05b971a,2026-03-16 19:17:32,70.48,false,0.00,paid,partial,online_store
SO_000000099,CL_0001,CU_CL_0001_000663,em_ce17dc59cbe21e3a8133,2026-04-27 18:52:00,89.04,false,0.00,paid,fulfilled,online_store
SO_000000100,CL_0001,CU_CL_0001_000194,em_943a49fae3c84867c18e,2026-05-11 14:18:04,92.48,false,0.00,paid,fulfilled,online_store
SO_000000101,CL_0001,CU_CL_0001_000216,em_8fc0e3a2d1631820b5a2,2026-05-02 11:55:43,49.49,false,0.00,refunded,unfulfilled,online_store
SO_000000102,CL_0001,CU_CL_0001_000258,em_d9fdc1ee91536a41d678,2026-04-18 15:51:49,37.34,false,0.00,paid,fulfilled,online_store
SO_000000103,CL_0001,CU_CL_0001_000332,em_b666280ce5b4c7d8ce49,2026-03-21 12:10:12,29.60,false,0.00,paid,fulfilled,tiktok_shop
SO_000000104,CL_0001,CU_CL_0001_000546,em_8f23d3d171ca5cb43323,2026-05-28 17:54:14,69.05,false,0.00,paid,fulfilled,amazon
SO_000000105,CL_0001,CU_CL_0001_000193,em_6290fbe61f59b578eeb0,2026-04-01 13:53:47,53.33,true,7.97,paid,fulfilled,online_store
SO_000000106,CL_0001,CU_CL_0001_000002,em_4a5cdacadc20d43155bf,2026-05-11 17:14:50,103.21,false,0.00,paid,fulfilled,shop_app
SO_000000107,CL_0001,CU_CL_0001_000328,em_04e716c62c3163109ab8,2026-03-30 13:43:17,29.60,false,0.00,paid,fulfilled,online_store
SO_000000108,CL_0001,CU_CL_0001_000215,em_888de55595e2a3738d68,2026-03-29 10:07:32,86.50,false,0.00,paid,fulfilled,online_store
SO_000000109,CL_0001,CU_CL_0001_000385,em_b699f7104eadc3207595,2026-05-02 01:16:37,33.14,true,4.20,paid,fulfilled,online_store
SO_000000110,CL_0001,CU_CL_0001_000731,em_8134b29247fc450e3f0c,2026-06-06 03:05:22,79.83,true,22.59,paid,fulfilled,shop_app
SO_000000111,CL_0001,CU_CL_0001_000506,em_35be67e63210d2ef6db4,2026-03-12 02:37:55,163.07,false,0.00,paid,fulfilled,online_store
SO_000000112,CL_0001,CU_CL_0001_000727,em_9cb3cb66810692c3956c,2026-03-12 19:02:04,56.02,true,3.01,paid,fulfilled,online_store
SO_000000113,CL_0001,CU_CL_0001_000457,em_9aa23411b860d4f783ad,2026-04-20 17:03:38,89.50,true,27.76,paid,fulfilled,online_store
SO_000000114,CL_0001,CU_CL_0001_000404,em_7a0fcc62701432db82d9,2026-04-12 15:28:22,40.03,false,0.00,paid,fulfilled,online_store
SO_000000115,CL_0001,CU_CL_0001_000527,em_0725a308b97ff66d9fca,2026-03-20 19:36:38,74.56,false,0.00,paid,partial,shop_app
SO_000000116,CL_0001,CU_CL_0001_000221,em_23dced49d3116d71bc4e,2026-03-20 14:33:12,86.95,false,0.00,paid,fulfilled,online_store
SO_000000117,CL_0001,CU_CL_0001_000061,em_e2a15556d1688df1d91c,2026-04-21 20:30:35,57.83,true,16.73,paid,fulfilled,online_store
SO_000000118,CL_0001,CU_CL_0001_000699,em_1932c6a2453a57bdc433,2026-04-12 16:34:41,49.49,false,0.00,paid,fulfilled,amazon
SO_000000119,CL_0001,CU_CL_0001_000355,em_c8ae1dc6318e3b3c3d62,2026-03-21 05:10:03,96.79,false,0.00,paid,fulfilled,online_store
SO_000000120,CL_0001,CU_CL_0001_000673,em_6dd3e9509395065ada72,2026-04-08 12:31:24,25.07,true,6.11,paid,fulfilled,amazon
SO_000000121,CL_0001,CU_CL_0001_000351,em_493d5743333df1a891ca,2026-06-06 02:42:13,29.96,true,7.32,paid,fulfilled,online_store
SO_000000122,CL_0001,CU_CL_0001_000138,em_cb09c5487280a2175513,2026-04-06 04:41:33,39.30,false,0.00,paid,fulfilled,shop_app
SO_000000123,CL_0001,CU_CL_0001_000301,em_e3599a4988a13fff0b66,2026-03-25 02:30:32,69.05,false,0.00,paid,fulfilled,online_store
SO_000000124,CL_0001,CU_CL_0001_000742,em_f4d422edd5f94ec09dc2,2026-04-05 03:45:18,176.28,false,0.00,paid,fulfilled,online_store
SO_000000125,CL_0001,CU_CL_0001_000789,em_46e2359881370354256b,2026-06-02 14:58:47,69.05,false,0.00,paid,fulfilled,online_store
SO_000000126,CL_0001,CU_CL_0001_000784,em_7f492ce0b4c62edce939,2026-04-27 09:47:32,49.49,false,0.00,paid,fulfilled,online_store
SO_000000127,CL_0001,CU_CL_0001_000181,em_af0b7479f3167bd9d439,2026-05-18 22:22:36,61.30,false,0.00,paid,fulfilled,online_store
SO_000000128,CL_0001,CU_CL_0001_000296,em_685b5e44befdabcab688,2026-05-10 01:01:03,106.34,false,0.00,paid,fulfilled,shop_app
SO_000000129,CL_0001,CU_CL_0001_000679,em_3cf75598402334a0fa1c,2026-03-24 08:20:01,122.60,false,0.00,paid,fulfilled,online_store
SO_000000130,CL_0001,CU_CL_0001_000424,em_e179ccd2664041487180,2026-03-12 23:48:16,27.74,false,0.00,paid,partial,online_store
SO_000000131,CL_0001,CU_CL_0001_000212,em_fc5463032216e78884ef,2026-05-17 03:41:25,43.49,true,6.00,paid,fulfilled,online_store
SO_000000132,CL_0001,CU_CL_0001_000128,em_1e5f1d64765b1453c26c,2026-04-12 14:53:50,97.53,false,0.00,paid,fulfilled,online_store
SO_000000133,CL_0001,CU_CL_0001_000790,em_c4e2c8b2d77d455b6991,2026-04-11 02:44:26,49.49,false,0.00,paid,fulfilled,online_store
SO_000000134,CL_0001,CU_CL_0001_000223,em_361ab6ca2e33b35f604c,2026-04-15 16:08:56,66.24,false,0.00,paid,fulfilled,shop_app
SO_000000135,CL_0001,CU_CL_0001_000702,em_7da2f1180e7614d1c1e6,2026-04-24 08:24:52,194.94,false,0.00,paid,fulfilled,online_store
SO_000000136,CL_0001,CU_CL_0001_000695,em_a175b59657332b33ad2f,2026-05-08 19:13:48,27.74,false,0.00,paid,fulfilled,online_store
SO_000000137,CL_0001,CU_CL_0001_000137,em_63ef6e787ba379490ae6,2026-05-05 13:15:43,69.02,true,5.66,paid,fulfilled,online_store
SO_000000138,CL_0001,CU_CL_0001_000698,em_98b0f087213fe20987dd,2026-04-01 19:21:48,30.16,true,7.12,paid,fulfilled,online_store
SO_000000139,CL_0001,CU_CL_0001_000760,em_282f4b2d5f2e881de2ad,2026-05-27 20:37:32,79.33,false,0.00,paid,fulfilled,online_store
SO_000000140,CL_0001,CU_CL_0001_000522,em_f137c50a18498d393893,2026-03-24 07:17:14,165.54,false,0.00,paid,fulfilled,online_store
SO_000000141,CL_0001,CU_CL_0001_000248,em_172e9afba814274b8506,2026-05-21 12:52:19,88.81,false,0.00,paid,fulfilled,online_store
SO_000000142,CL_0001,CU_CL_0001_000289,em_a3fd932bfa27f4b5a688,2026-03-26 06:25:17,69.65,false,0.00,paid,fulfilled,online_store
SO_000000143,CL_0001,CU_CL_0001_000178,em_8022bbbe3902194ce3c9,2026-03-27 23:53:19,39.30,false,0.00,paid,fulfilled,online_store
SO_000000144,CL_0001,CU_CL_0001_000242,em_e2a5680bda50864f57b7,2026-06-07 05:36:12,78.35,true,10.45,paid,fulfilled,online_store
SO_000000145,CL_0001,CU_CL_0001_000660,em_1308ab67cdc8e167aacc,2026-05-07 20:55:17,40.03,false,0.00,paid,fulfilled,online_store
SO_000000146,CL_0001,CU_CL_0001_000146,em_c0b567c2b77e7bccdf42,2026-03-20 01:28:46,59.21,false,0.00,paid,fulfilled,online_store
SO_000000147,CL_0001,CU_CL_0001_000541,em_61d9cdc6c05a78c3c4a8,2026-05-24 15:47:59,61.30,false,0.00,paid,fulfilled,shop_app
SO_000000148,CL_0001,CU_CL_0001_000508,em_84e2cf6232e0b9261afb,2026-04-05 17:19:52,112.25,true,15.68,partially_refunded,fulfilled,shop_app
SO_000000149,CL_0001,CU_CL_0001_000644,em_e63ec5a6b196038de48d,2026-03-13 09:38:17,177.63,false,0.00,paid,unfulfilled,online_store
SO_000000150,CL_0001,CU_CL_0001_000293,em_f3fb4cc128ee6dc3e9de,2026-05-27 13:25:25,96.31,false,0.00,paid,fulfilled,online_store
SO_000000151,CL_0001,CU_CL_0001_000635,em_cb2a1238e4042fbae9cc,2026-05-16 12:37:28,31.39,true,7.91,paid,fulfilled,online_store
SO_000000152,CL_0001,CU_CL_0001_000376,em_cd08575dcd2802f27152,2026-05-09 21:51:53,95.48,true,22.58,paid,fulfilled,shop_app
SO_000000153,CL_0001,CU_CL_0001_000250,em_ee6f083c3aa7eb02f34a,2026-03-16 05:20:08,37.28,false,0.00,paid,fulfilled,online_store
SO_000000154,CL_0001,CU_CL_0001_000788,em_5250b488cbebc5c01620,2026-04-10 12:47:43,41.91,false,0.00,paid,fulfilled,online_store
SO_000000155,CL_0001,CU_CL_0001_000024,em_77573198462cd23acc40,2026-05-21 16:58:14,39.30,false,0.00,paid,fulfilled,online_store
SO_000000156,CL_0001,CU_CL_0001_000534,em_52348021ab90b813a207,2026-05-27 21:07:28,39.30,false,0.00,paid,fulfilled,shop_app
SO_000000157,CL_0001,CU_CL_0001_000090,em_60f33af3b8c044079d3d,2026-06-03 08:19:53,38.73,true,10.76,paid,partial,online_store
SO_000000158,CL_0001,CU_CL_0001_000684,em_90fc4ca6181362bf2a2c,2026-06-08 07:37:21,119.81,false,0.00,paid,fulfilled,online_store
SO_000000159,CL_0001,CU_CL_0001_000779,em_7686fd52d3cf18479dd1,2026-05-11 15:09:40,61.30,false,0.00,paid,fulfilled,online_store
SO_000000160,CL_0001,CU_CL_0001_000127,em_ca68bff105b964ac527c,2026-03-12 05:25:53,49.49,false,0.00,paid,fulfilled,online_store
SO_000000161,CL_0001,CU_CL_0001_000047,em_110fbab159059ae0a5e1,2026-03-21 04:55:08,27.74,false,0.00,paid,fulfilled,online_store
SO_000000162,CL_0001,CU_CL_0001_000367,em_ffee0acde308b31da2b9,2026-04-13 16:49:36,59.03,false,0.00,paid,fulfilled,online_store
SO_000000163,CL_0001,CU_CL_0001_000588,em_c219bda5a19cff2e21d7,2026-04-10 17:51:51,40.03,false,0.00,paid,fulfilled,online_store
SO_000000164,CL_0001,CU_CL_0001_000095,em_95e1bdce5b0e0b396b5d,2026-04-27 05:56:32,32.32,true,9.59,paid,fulfilled,online_store
SO_000000165,CL_0001,CU_CL_0001_000104,em_2311c645fa1cc3ffa907,2026-04-25 16:16:54,86.27,true,11.44,paid,fulfilled,online_store
SO_000000166,CL_0001,CU_CL_0001_000263,em_42742f82de6665ca71b7,2026-04-26 21:13:08,108.13,false,0.00,paid,partial,online_store
SO_000000167,CL_0001,CU_CL_0001_000760,em_282f4b2d5f2e881de2ad,2026-05-02 14:36:56,40.03,false,0.00,paid,fulfilled,amazon
SO_000000168,CL_0001,CU_CL_0001_000465,em_210fb839df4fc2ac52e8,2026-06-06 05:30:52,124.11,false,0.00,paid,fulfilled,online_store
SO_000000169,CL_0001,CU_CL_0001_000088,em_4c08b1527d1d5278a742,2026-04-12 01:46:22,123.14,false,0.00,paid,fulfilled,shop_app
SO_000000170,CL_0001,CU_CL_0001_000663,em_ce17dc59cbe21e3a8133,2026-05-10 19:26:05,86.50,false,0.00,paid,fulfilled,online_store
SO_000000171,CL_0001,CU_CL_0001_000073,em_af187aff8a098f872289,2026-05-22 04:28:05,155.26,true,14.21,paid,fulfilled,online_store
SO_000000172,CL_0001,CU_CL_0001_000727,em_9cb3cb66810692c3956c,2026-04-29 14:19:49,121.87,true,13.74,partially_refunded,fulfilled,online_store
SO_000000173,CL_0001,CU_CL_0001_000786,em_60ca79643781293426af,2026-04-06 13:35:45,37.34,false,0.00,paid,partial,online_store
SO_000000174,CL_0001,CU_CL_0001_000236,em_fe0ab092f09c86f7aced,2026-04-05 19:59:41,70.39,true,13.43,paid,fulfilled,online_store
SO_000000175,CL_0001,CU_CL_0001_000421,em_a45a72e7b3a5a3bd26a8,2026-05-04 18:44:02,62.37,true,3.87,paid,fulfilled,tiktok_shop
SO_000000176,CL_0001,CU_CL_0001_000434,em_f807f021da5c8b11d0c3,2026-06-08 12:37:29,49.49,false,0.00,paid,fulfilled,online_store
SO_000000177,CL_0001,CU_CL_0001_000175,em_0a4f4cae3bf8f2191d85,2026-05-08 21:45:28,78.53,false,0.00,paid,fulfilled,online_store
SO_000000178,CL_0001,CU_CL_0001_000554,em_d159c7dc99c2beb3c38a,2026-05-10 15:16:26,232.21,false,0.00,paid,fulfilled,online_store
SO_000000179,CL_0001,CU_CL_0001_000248,em_172e9afba814274b8506,2026-03-31 23:17:50,37.28,false,0.00,paid,fulfilled,shop_app
