audience_id,client_id,audience_name,source_system,rule_expression,segment_type,estimated_size,destination_platforms,last_synced_at,sync_status
AUD_00000047,CL_0006,Recent Refunds,Shopify,refund_created_30d = true,exclusion,211,Meta,2026-05-27 07:20:38,synced
AUD_00000048,CL_0006,VIP Lookalike Seed,WasteNot,lifetime_value > p90 AND order_count >= 3,targeting,91,"Meta,Google",2026-03-19 20:56:23,synced
AUD_00000049,CL_0007,Recent Buyers 30D,Shopify,purchased_in_last_30_days = true,exclusion,337,Google,2026-04-27 14:39:02,synced
AUD_00000050,CL_0007,High LTV Customers,Shopify,lifetime_value > 500,targeting,65,"Meta,Google",2026-05-15 23:14:11,synced
AUD_00000051,CL_0007,Email Converted 7D,Klaviyo,clicked_email AND placed_order_7d,exclusion,111,Meta,2026-05-02 10:53:50,synced
AUD_00000052,CL_0007,Cart Abandoners 14D,Klaviyo,added_to_cart AND not_purchased_14d,targeting,118,Google,2026-04-23 12:02:57,failed
AUD_00000053,CL_0007,Dormant Buyers 180D,Shopify,last_order_at < now() - 180d,targeting,93,Google,2026-04-21 15:37:13,synced
AUD_00000054,CL_0007,Active Subscribers,Klaviyo,subscribed = true AND consent_email = true,targeting,383,Google,2026-03-28 05:38:31,synced
AUD_00000055,CL_0007,Recent Refunds,Shopify,refund_created_30d = true,exclusion,164,Meta,2026-04-25 03:59:21,synced
AUD_00000056,CL_0007,VIP Lookalike Seed,WasteNot,lifetime_value > p90 AND order_count >= 3,targeting,304,Meta,2026-03-30 18:11:40,synced
AUD_00000057,CL_0008,Recent Buyers 30D,Shopify,purchased_in_last_30_days = true,exclusion,142,"Meta,Google",2026-03-13 19:21:04,synced
AUD_00000058,CL_0008,High LTV Customers,Shopify,lifetime_value > 500,targeting,264,"Meta,Google",2026-05-30 13:51:18,synced
AUD_00000059,CL_0008,Email Converted 7D,Klaviyo,clicked_email AND placed_order_7d,exclusion,76,Google,2026-05-23 15:51:36,synced
AUD_00000060,CL_0008,Cart Abandoners 14D,Klaviyo,added_to_cart AND not_purchased_14d,targeting,377,"Meta,Google",2026-03-14 10:34:05,synced
AUD_00000061,CL_0008,Dormant Buyers 180D,Shopify,last_order_at < now() - 180d,targeting,283,Meta,2026-03-22 08:50:35,synced
AUD_00000062,CL_0008,Active Subscribers,Klaviyo,subscribed = true AND consent_email = true,targeting,326,Meta,2026-05-20 05:02:04,partial
AUD_00000063,CL_0008,Recent Refunds,Shopify,refund_created_30d = true,exclusion,256,Google,2026-05-20 19:55:20,synced
AUD_00000064,CL_0008,VIP Lookalike Seed,WasteNot,lifetime_value > p90 AND order_count >= 3,targeting,248,"Meta,Google",2026-04-28 20:50:43,synced
AUD_00000065,CL_0009,Recent Buyers 30D,Shopify,purchased_in_last_30_days = true,exclusion,247,"Meta,Google",2026-03-12 16:16:08,synced
AUD_00000066,CL_0009,High LTV Customers,Shopify,lifetime_value > 500,targeting,56,"Meta,Google",2026-05-06 10:08:06,synced
AUD_00000067,CL_0009,Email Converted 7D,Klaviyo,clicked_email AND placed_order_7d,exclusion,251,"Meta,Google",2026-03-30 22:28:37,synced
AUD_00000068,CL_0009,Cart Abandoners 14D,Klaviyo,added_to_cart AND not_purchased_14d,targeting,180,Google,2026-04-24 12:33:45,synced
AUD_00000069,CL_0009,Dormant Buyers 180D,Shopify,last_order_at < now() - 180d,targeting,398,Meta,2026-04-23 17:12:13,synced
AUD_00000070,CL_0009,Active Subscribers,Klaviyo,subscribed = true AND consent_email = true,targeting,140,Meta,2026-05-13 18:03:20,synced
AUD_00000071,CL_0009,Recent Refunds,Shopify,refund_created_30d = true,exclusion,380,Google,2026-05-21 15:36:18,pending
AUD_00000072,CL_0009,VIP Lookalike Seed,WasteNot,lifetime_value > p90 AND order_count >= 3,targeting,347,"Meta,Google",2026-04-17 19:01:13,synced
AUD_00000073,CL_0010,Recent Buyers 30D,Shopify,purchased_in_last_30_days = true,exclusion,188,Meta,2026-04-10 09:26:51,synced
AUD_00000074,CL_0010,High LTV Customers,Shopify,lifetime_value > 500,targeting,125,"Meta,Google",2026-05-12 11:15:01,synced
AUD_00000075,CL_0010,Email Converted 7D,Klaviyo,clicked_email AND placed_order_7d,exclusion,46,Meta,2026-05-22 20:37:57,synced
AUD_00000076,CL_0010,Cart Abandoners 14D,Klaviyo,added_to_cart AND not_purchased_14d,targeting,155,Meta,2026-04-20 23:45:14,synced
AUD_00000077,CL_0010,Dormant Buyers 180D,Shopify,last_order_at < now() - 180d,targeting,330,Google,2026-04-17 08:18:21,synced
AUD_00000078,CL_0010,Active Subscribers,Klaviyo,subscribed = true AND consent_email = true,targeting,172,Google,2026-05-30 09:06:06,partial
AUD_00000079,CL_0010,Recent Refunds,Shopify,refund_created_30d = true,exclusion,179,Google,2026-04-04 01:41:46,synced
AUD_00000080,CL_0010,VIP Lookalike Seed,WasteNot,lifetime_value > p90 AND order_count >= 3,targeting,353,Google,2026-03-19 10:04:45,synced
AUD_00000081,CL_0011,Recent Buyers 30D,Shopify,purchased_in_last_30_days = true,exclusion,344,Meta,2026-03-15 19:47:21,failed
AUD_00000082,CL_0011,High LTV Customers,Shopify,lifetime_value > 500,targeting,211,"Meta,Google",2026-04-15 06:43:18,synced
AUD_00000083,CL_0011,Email Converted 7D,Klaviyo,clicked_email AND placed_order_7d,exclusion,119,Google,2026-04-14 13:08:59,synced
AUD_00000084,CL_0011,Cart Abandoners 14D,Klaviyo,added_to_cart AND not_purchased_14d,targeting,393,Meta,2026-04-30 01:11:58,synced
AUD_00000085,CL_0011,Dormant Buyers 180D,Shopify,last_order_at < now() - 180d,targeting,261,Meta,2026-03-25 02:49:16,synced
AUD_00000086,CL_0011,Active Subscribers,Klaviyo,subscribed = true AND consent_email = true,targeting,104,"Meta,Google",2026-03-17 22:40:21,synced
AUD_00000087,CL_0011,Recent Refunds,Shopify,refund_created_30d = true,exclusion,190,Google,2026-03-29 01:00:17,synced
AUD_00000088,CL_0011,VIP Lookalike Seed,WasteNot,lifetime_value > p90 AND order_count >= 3,targeting,92,Meta,2026-05-24 17:17:30,partial
AUD_00000089,CL_0012,Recent Buyers 30D,Shopify,purchased_in_last_30_days = true,exclusion,63,Meta,2026-03-18 04:13:55,synced
AUD_00000090,CL_0012,High LTV Customers,Shopify,lifetime_value > 500,targeting,96,Meta,2026-06-03 16:37:04,synced
AUD_00000091,CL_0012,Email Converted 7D,Klaviyo,clicked_email AND placed_order_7d,exclusion,192,Meta,2026-05-29 07:09:17,synced
AUD_00000092,CL_0012,Cart Abandoners 14D,Klaviyo,added_to_cart AND not_purchased_14d,targeting,187,"Meta,Google",2026-06-07 09:25:58,synced
AUD_00000093,CL_0012,Dormant Buyers 180D,Shopify,last_order_at < now() - 180d,targeting,137,Google,2026-06-06 11:48:06,synced
AUD_00000094,CL_0012,Active Subscribers,Klaviyo,subscribed = true AND consent_email = true,targeting,399,"Meta,Google",2026-03-20 22:39:11,pending
AUD_00000095,CL_0012,Recent Refunds,Shopify,refund_created_30d = true,exclusion,204,Meta,2026-04-15 10:58:49,partial
AUD_00000096,CL_0012,VIP Lookalike Seed,WasteNot,lifetime_value > p90 AND order_count >= 3,targeting,343,"Meta,Google",2026-05-21 14:32:58,synced
AUD_00000097,CL_0013,Recent Buyers 30D,Shopify,purchased_in_last_30_days = true,exclusion,340,Google,2026-05-26 20:31:09,synced
AUD_00000098,CL_0013,High LTV Customers,Shopify,lifetime_value > 500,targeting,371,Google,2026-05-19 00:28:11,synced
AUD_00000099,CL_0013,Email Converted 7D,Klaviyo,clicked_email AND placed_order_7d,exclusion,146,Meta,2026-03-12 00:03:43,synced
AUD_00000100,CL_0013,Cart Abandoners 14D,Klaviyo,added_to_cart AND not_purchased_14d,targeting,206,"Meta,Google",2026-06-02 13:07:17,pending
AUD_00000101,CL_0013,Dormant Buyers 180D,Shopify,last_order_at < now() - 180d,targeting,125,"Meta,Google",2026-04-23 00:47:33,synced
AUD_00000102,CL_0013,Active Subscribers,Klaviyo,subscribed = true AND consent_email = true,targeting,67,"Meta,Google",2026-04-06 15:35:47,pending
AUD_00000103,CL_0013,Recent Refunds,Shopify,refund_created_30d = true,exclusion,307,Google,2026-04-01 23:38:56,synced
AUD_00000104,CL_0013,VIP Lookalike Seed,WasteNot,lifetime_value > p90 AND order_count >= 3,targeting,367,Google,2026-04-05 23:42:44,synced
AUD_00000105,CL_0014,Recent Buyers 30D,Shopify,purchased_in_last_30_days = true,exclusion,263,"Meta,Google",2026-03-28 19:11:47,synced
AUD_00000106,CL_0014,High LTV Customers,Shopify,lifetime_value > 500,targeting,327,"Meta,Google",2026-04-12 04:18:47,synced
AUD_00000107,CL_0014,Email Converted 7D,Klaviyo,clicked_email AND placed_order_7d,exclusion,197,"Meta,Google",2026-05-20 16:23:40,partial
AUD_00000108,CL_0014,Cart Abandoners 14D,Klaviyo,added_to_cart AND not_purchased_14d,targeting,369,"Meta,Google",2026-05-31 23:07:42,failed
AUD_00000109,CL_0014,Dormant Buyers 180D,Shopify,last_order_at < now() - 180d,targeting,283,Meta,2026-04-11 02:16:29,synced
AUD_00000110,CL_0014,Active Subscribers,Klaviyo,subscribed = true AND consent_email = true,targeting,129,Meta,2026-05-23 23:30:20,failed
AUD_00000111,CL_0014,Recent Refunds,Shopify,refund_created_30d = true,exclusion,321,Google,2026-04-12 03:51:11,synced
AUD_00000112,CL_0014,VIP Lookalike Seed,WasteNot,lifetime_value > p90 AND order_count >= 3,targeting,380,Google,2026-03-24 08:28:05,partial
AUD_00000113,CL_0015,Recent Buyers 30D,Shopify,purchased_in_last_30_days = true,exclusion,334,Google,2026-05-27 10:15:06,synced
AUD_00000114,CL_0015,High LTV Customers,Shopify,lifetime_value > 500,targeting,280,Google,2026-04-17 20:26:54,synced
AUD_00000115,CL_0015,Email Converted 7D,Klaviyo,clicked_email AND placed_order_7d,exclusion,152,Google,2026-05-30 01:15:49,synced
AUD_00000116,CL_0015,Cart Abandoners 14D,Klaviyo,added_to_cart AND not_purchased_14d,targeting,247,"Meta,Google",2026-03-15 12:26:45,synced
AUD_00000117,CL_0015,Dormant Buyers 180D,Shopify,last_order_at < now() - 180d,targeting,268,Meta,2026-05-03 19:20:29,synced
AUD_00000118,CL_0015,Active Subscribers,Klaviyo,subscribed = true AND consent_email = true,targeting,267,Google,2026-05-11 19:46:15,synced
AUD_00000119,CL_0015,Recent Refunds,Shopify,refund_created_30d = true,exclusion,387,Google,2026-03-28 22:53:48,synced
AUD_00000120,CL_0015,VIP Lookalike Seed,WasteNot,lifetime_value > p90 AND order_count >= 3,targeting,226,"Meta,Google",2026-05-22 17:42:27,synced
AUD_00000121,CL_0016,Recent Buyers 30D,Shopify,purchased_in_last_30_days = true,exclusion,222,Meta,2026-05-16 04:55:27,synced
AUD_00000122,CL_0016,High LTV Customers,Shopify,lifetime_value > 500,targeting,83,Google,2026-04-22 09:19:09,synced
AUD_00000123,CL_0016,Email Converted 7D,Klaviyo,clicked_email AND placed_order_7d,exclusion,140,Meta,2026-03-12 01:09:49,synced
AUD_00000124,CL_0016,Cart Abandoners 14D,Klaviyo,added_to_cart AND not_purchased_14d,targeting,55,Meta,2026-05-02 15:58:11,synced
AUD_00000125,CL_0016,Dormant Buyers 180D,Shopify,last_order_at < now() - 180d,targeting,151,Google,2026-04-14 07:48:57,synced
AUD_00000126,CL_0016,Active Subscribers,Klaviyo,subscribed = true AND consent_email = true,targeting,377,Meta,2026-05-28 23:43:29,synced
AUD_00000127,CL_0016,Recent Refunds,Shopify,refund_created_30d = true,exclusion,304,"Meta,Google",2026-06-04 08:24:18,synced
AUD_00000128,CL_0016,VIP Lookalike Seed,WasteNot,lifetime_value > p90 AND order_count >= 3,targeting,134,Google,2026-04-26 11:36:19,synced
AUD_00000129,CL_0017,Recent Buyers 30D,Shopify,purchased_in_last_30_days = true,exclusion,71,"Meta,Google",2026-04-01 02:41:41,synced
AUD_00000130,CL_0017,High LTV Customers,Shopify,lifetime_value > 500,targeting,153,Google,2026-05-08 01:41:36,synced
AUD_00000131,CL_0017,Email Converted 7D,Klaviyo,clicked_email AND placed_order_7d,exclusion,353,Google,2026-03-22 14:14:49,partial
AUD_00000132,CL_0017,Cart Abandoners 14D,Klaviyo,added_to_cart AND not_purchased_14d,targeting,330,"Meta,Google",2026-05-24 07:42:26,synced
AUD_00000133,CL_0017,Dormant Buyers 180D,Shopify,last_order_at < now() - 180d,targeting,284,"Meta,Google",2026-04-04 13:09:02,synced
AUD_00000134,CL_0017,Active Subscribers,Klaviyo,subscribed = true AND consent_email = true,targeting,182,"Meta,Google",2026-05-01 12:33:38,synced
AUD_00000135,CL_0017,Recent Refunds,Shopify,refund_created_30d = true,exclusion,286,"Meta,Google",2026-04-26 01:37:48,synced
AUD_00000136,CL_0017,VIP Lookalike Seed,WasteNot,lifetime_value > p90 AND order_count >= 3,targeting,119,Google,2026-04-12 21:17:01,synced
AUD_00000137,CL_0018,Recent Buyers 30D,Shopify,purchased_in_last_30_days = true,exclusion,297,Google,2026-04-11 17:50:29,synced
AUD_00000138,CL_0018,High LTV Customers,Shopify,lifetime_value > 500,targeting,117,Google,2026-04-23 18:11:30,synced
AUD_00000139,CL_0018,Email Converted 7D,Klaviyo,clicked_email AND placed_order_7d,exclusion,377,Google,2026-05-09 06:31:54,synced
AUD_00000140,CL_0018,Cart Abandoners 14D,Klaviyo,added_to_cart AND not_purchased_14d,targeting,144,Google,2026-04-01 15:02:03,synced
AUD_00000141,CL_0018,Dormant Buyers 180D,Shopify,last_order_at < now() - 180d,targeting,199,Google,2026-05-30 22:21:13,synced
AUD_00000142,CL_0018,Active Subscribers,Klaviyo,subscribed = true AND consent_email = true,targeting,129,Meta,2026-04-05 07:05:25,partial
AUD_00000143,CL_0018,Recent Refunds,Shopify,refund_created_30d = true,exclusion,243,Google,2026-03-30 23:41:05,synced
AUD_00000144,CL_0018,VIP Lookalike Seed,WasteNot,lifetime_value > p90 AND order_count >= 3,targeting,380,Meta,2026-05-28 14:38:04,synced
AUD_00000145,CL_0019,Recent Buyers 30D,Shopify,purchased_in_last_30_days = true,exclusion,164,Meta,2026-05-07 22:58:08,synced
AUD_00000146,CL_0019,High LTV Customers,Shopify,lifetime_value > 500,targeting,54,Meta,2026-05-07 13:43:41,synced
AUD_00000147,CL_0019,Email Converted 7D,Klaviyo,clicked_email AND placed_order_7d,exclusion,339,"Meta,Google",2026-05-16 05:46:48,synced
AUD_00000148,CL_0019,Cart Abandoners 14D,Klaviyo,added_to_cart AND not_purchased_14d,targeting,76,"Meta,Google",2026-05-04 13:20:59,synced
AUD_00000149,CL_0019,Dormant Buyers 180D,Shopify,last_order_at < now() - 180d,targeting,73,Meta,2026-05-30 22:37:49,synced
AUD_00000150,CL_0019,Active Subscribers,Klaviyo,subscribed = true AND consent_email = true,targeting,123,"Meta,Google",2026-05-20 06:05:40,synced
AUD_00000151,CL_0019,Recent Refunds,Shopify,refund_created_30d = true,exclusion,197,"Meta,Google",2026-05-15 18:43:54,synced
AUD_00000152,CL_0019,VIP Lookalike Seed,WasteNot,lifetime_value > p90 AND order_count >= 3,targeting,202,"Meta,Google",2026-04-25 11:18:53,synced
AUD_00000153,CL_0020,Recent Buyers 30D,Shopify,purchased_in_last_30_days = true,exclusion,313,Google,2026-04-13 15:02:04,synced
AUD_00000154,CL_0020,High LTV Customers,Shopify,lifetime_value > 500,targeting,173,"Meta,Google",2026-04-21 01:38:01,synced
AUD_00000155,CL_0020,Email Converted 7D,Klaviyo,clicked_email AND placed_order_7d,exclusion,95,Google,2026-04-05 14:21:53,pending
AUD_00000156,CL_0020,Cart Abandoners 14D,Klaviyo,added_to_cart AND not_purchased_14d,targeting,304,"Meta,Google",2026-03-31 03:56:36,partial
AUD_00000157,CL_0020,Dormant Buyers 180D,Shopify,last_order_at < now() - 180d,targeting,400,Google,2026-05-20 00:29:51,synced
AUD_00000158,CL_0020,Active Subscribers,Klaviyo,subscribed = true AND consent_email = true,targeting,333,Meta,2026-04-23 23:20:11,synced
AUD_00000159,CL_0020,Recent Refunds,Shopify,refund_created_30d = true,exclusion,46,Meta,2026-03-31 07:36:40,synced
AUD_00000160,CL_0020,VIP Lookalike Seed,WasteNot,lifetime_value > p90 AND order_count >= 3,targeting,304,"Meta,Google",2026-05-02 15:43:19,synced
AUD_00000161,CL_0021,Recent Buyers 30D,Shopify,purchased_in_last_30_days = true,exclusion,43,Google,2026-05-05 06:16:25,synced
AUD_00000162,CL_0021,High LTV Customers,Shopify,lifetime_value > 500,targeting,219,"Meta,Google",2026-05-24 23:33:58,pending
AUD_00000163,CL_0021,Email Converted 7D,Klaviyo,clicked_email AND placed_order_7d,exclusion,155,"Meta,Google",2026-04-17 11:20:15,partial
AUD_00000164,CL_0021,Cart Abandoners 14D,Klaviyo,added_to_cart AND not_purchased_14d,targeting,371,"Meta,Google",2026-05-29 01:17:37,synced
AUD_00000165,CL_0021,Dormant Buyers 180D,Shopify,last_order_at < now() - 180d,targeting,379,Meta,2026-04-09 05:22:07,synced
AUD_00000166,CL_0021,Active Subscribers,Klaviyo,subscribed = true AND consent_email = true,targeting,136,"Meta,Google",2026-06-06 03:34:21,synced
AUD_00000167,CL_0021,Recent Refunds,Shopify,refund_created_30d = true,exclusion,385,Meta,2026-03-16 19:24:44,synced
AUD_00000168,CL_0021,VIP Lookalike Seed,WasteNot,lifetime_value > p90 AND order_count >= 3,targeting,315,Google,2026-03-28 18:16:38,synced
AUD_00000169,CL_0022,Recent Buyers 30D,Shopify,purchased_in_last_30_days = true,exclusion,360,Google,2026-05-10 08:50:59,pending
AUD_00000170,CL_0022,High LTV Customers,Shopify,lifetime_value > 500,targeting,384,Google,2026-06-03 13:44:07,partial
AUD_00000171,CL_0022,Email Converted 7D,Klaviyo,clicked_email AND placed_order_7d,exclusion,163,Meta,2026-03-22 03:23:28,partial
AUD_00000172,CL_0022,Cart Abandoners 14D,Klaviyo,added_to_cart AND not_purchased_14d,targeting,371,Meta,2026-06-07 17:16:39,synced
AUD_00000173,CL_0022,Dormant Buyers 180D,Shopify,last_order_at < now() - 180d,targeting,163,Google,2026-05-21 05:55:35,synced
AUD_00000174,CL_0022,Active Subscribers,Klaviyo,subscribed = true AND consent_email = true,targeting,327,Google,2026-04-26 02:44:25,pending
AUD_00000175,CL_0022,Recent Refunds,Shopify,refund_created_30d = true,exclusion,79,"Meta,Google",2026-05-05 08:22:13,synced
AUD_00000176,CL_0022,VIP Lookalike Seed,WasteNot,lifetime_value > p90 AND order_count >= 3,targeting,49,"Meta,Google",2026-06-08 14:18:23,synced
AUD_00000177,CL_0023,Recent Buyers 30D,Shopify,purchased_in_last_30_days = true,exclusion,286,"Meta,Google",2026-05-11 01:18:03,synced
AUD_00000178,CL_0023,High LTV Customers,Shopify,lifetime_value > 500,targeting,275,"Meta,Google",2026-04-05 06:57:15,synced
AUD_00000179,CL_0023,Email Converted 7D,Klaviyo,clicked_email AND placed_order_7d,exclusion,168,"Meta,Google",2026-06-04 17:58:45,pending
AUD_00000180,CL_0023,Cart Abandoners 14D,Klaviyo,added_to_cart AND not_purchased_14d,targeting,124,"Meta,Google",2026-04-19 21:27:42,synced
AUD_00000181,CL_0023,Dormant Buyers 180D,Shopify,last_order_at < now() - 180d,targeting,74,Google,2026-04-11 10:12:24,synced
AUD_00000182,CL_0023,Active Subscribers,Klaviyo,subscribed = true AND consent_email = true,targeting,67,"Meta,Google",2026-05-22 11:03:50,synced
AUD_00000183,CL_0023,Recent Refunds,Shopify,refund_created_30d = true,exclusion,87,Google,2026-04-13 22:56:03,partial
AUD_00000184,CL_0023,VIP Lookalike Seed,WasteNot,lifetime_value > p90 AND order_count >= 3,targeting,157,Google,2026-05-15 11:48:13,synced
AUD_00000185,CL_0024,Recent Buyers 30D,Shopify,purchased_in_last_30_days = true,exclusion,122,"Meta,Google",2026-05-02 05:24:32,synced
AUD_00000186,CL_0024,High LTV Customers,Shopify,lifetime_value > 500,targeting,356,Meta,2026-05-30 18:54:05,synced
AUD_00000187,CL_0024,Email Converted 7D,Klaviyo,clicked_email AND placed_order_7d,exclusion,187,"Meta,Google",2026-04-29 06:46:44,synced
AUD_00000188,CL_0024,Cart Abandoners 14D,Klaviyo,added_to_cart AND not_purchased_14d,targeting,216,Google,2026-03-24 02:00:21,synced
AUD_00000189,CL_0024,Dormant Buyers 180D,Shopify,last_order_at < now() - 180d,targeting,370,Meta,2026-05-29 10:00:45,partial
AUD_00000190,CL_0024,Active Subscribers,Klaviyo,subscribed = true AND consent_email = true,targeting,354,"Meta,Google",2026-06-04 08:12:04,pending
AUD_00000191,CL_0024,Recent Refunds,Shopify,refund_created_30d = true,exclusion,319,Meta,2026-03-20 21:01:27,pending
AUD_00000192,CL_0024,VIP Lookalike Seed,WasteNot,lifetime_value > p90 AND order_count >= 3,targeting,155,Meta,2026-04-12 00:41:59,synced
AUD_00000193,CL_0025,Recent Buyers 30D,Shopify,purchased_in_last_30_days = true,exclusion,387,"Meta,Google",2026-05-30 19:34:21,synced
AUD_00000194,CL_0025,High LTV Customers,Shopify,lifetime_value > 500,targeting,320,"Meta,Google",2026-05-12 01:14:30,synced
