adset_id,campaign_id,client_id,platform,adset_name,audience_type,status,daily_budget,optimization_goal,targeting_summary
GA_000000020,GC_00000007,CL_0001,Google,High LTV - Top States,High LTV,active,73.44,leads,"{""geo"": ""Top 10 states"", ""age"": ""25-64"", ""exclusions"": ""email_converters_7d""}"
GA_000000021,GC_00000007,CL_0001,Google,Cart Abandoners - 35+,Cart Abandoners,paused,112.02,value,"{""geo"": ""Top 10 states"", ""age"": ""25-64"", ""exclusions"": ""recent_buyers_30d""}"
GA_000000022,GC_00000007,CL_0001,Google,Lookalike - 25-44,Lookalike,active,61.37,purchases,"{""geo"": ""US+CA"", ""age"": ""25-64"", ""exclusions"": ""email_converters_7d""}"
GA_000000023,GC_00000008,CL_0001,Google,Interest - Top States,Interest,active,6.76,value,"{""geo"": ""Top 10 states"", ""age"": ""25-64"", ""exclusions"": ""recent_buyers_30d""}"
GA_000000024,GC_00000008,CL_0001,Google,Recent Buyers - 18-34,Recent Buyers,active,6.16,leads,"{""geo"": ""US+CA"", ""age"": ""18-45"", ""exclusions"": ""recent_buyers_30d""}"
GA_000000025,GC_00000008,CL_0001,Google,High LTV - 18-34,High LTV,active,6.51,leads,"{""geo"": ""Top 10 states"", ""age"": ""25-64"", ""exclusions"": ""email_converters_7d""}"
GA_000000026,GC_00000008,CL_0001,Google,High LTV - US,High LTV,active,8.72,traffic,"{""geo"": ""US"", ""age"": ""18-45"", ""exclusions"": ""email_converters_7d""}"
GA_000000027,GC_00000009,CL_0001,Google,Interest - Top States,Interest,active,170.27,purchases,"{""geo"": ""US+CA"", ""age"": ""18-45"", ""exclusions"": ""none""}"
GA_000000028,GC_00000009,CL_0001,Google,Cart Abandoners - 18-34,Cart Abandoners,paused,234.68,leads,"{""geo"": ""US"", ""age"": ""21-54"", ""exclusions"": ""none""}"
GA_000000029,GC_00000009,CL_0001,Google,Interest - US,Interest,active,275.98,purchases,"{""geo"": ""US+CA"", ""age"": ""21-54"", ""exclusions"": ""email_converters_7d""}"
GA_000000030,GC_00000009,CL_0001,Google,Lookalike - 25-44,Lookalike,active,266.06,purchases,"{""geo"": ""US+CA"", ""age"": ""25-64"", ""exclusions"": ""none""}"
GA_000000031,GC_00000009,CL_0001,Google,Site Visitors - US,Site Visitors,active,165.93,value,"{""geo"": ""English-speaking"", ""age"": ""21-54"", ""exclusions"": ""email_converters_7d""}"
GA_000000032,GC_00000010,CL_0001,Google,Lookalike - 25-44,Lookalike,active,10.02,leads,"{""geo"": ""US"", ""age"": ""25-64"", ""exclusions"": ""recent_buyers_30d""}"
GA_000000033,GC_00000010,CL_0001,Google,Lookalike - 18-34,Lookalike,active,11.85,traffic,"{""geo"": ""US"", ""age"": ""18-45"", ""exclusions"": ""none""}"
GA_000000034,GC_00000011,CL_0001,Google,High LTV - US,High LTV,active,165.70,purchases,"{""geo"": ""US+CA"", ""age"": ""25-64"", ""exclusions"": ""recent_buyers_30d""}"
GA_000000035,GC_00000011,CL_0001,Google,Interest - Top States,Interest,learning,133.02,traffic,"{""geo"": ""English-speaking"", ""age"": ""25-64"", ""exclusions"": ""none""}"
GA_000000036,GC_00000011,CL_0001,Google,Lookalike - US,Lookalike,active,216.62,purchases,"{""geo"": ""Top 10 states"", ""age"": ""18-45"", ""exclusions"": ""recent_buyers_30d""}"
GA_000000037,GC_00000011,CL_0001,Google,Interest - 25-44,Interest,learning,139.32,leads,"{""geo"": ""English-speaking"", ""age"": ""18-45"", ""exclusions"": ""none""}"
GA_000000038,GC_00000011,CL_0001,Google,High LTV - US,High LTV,active,167.88,purchases,"{""geo"": ""English-speaking"", ""age"": ""25-64"", ""exclusions"": ""email_converters_7d""}"
GA_000000039,GC_00000012,CL_0001,Google,Interest - 18-34,Interest,active,159.44,leads,"{""geo"": ""US+CA"", ""age"": ""21-54"", ""exclusions"": ""none""}"
GA_000000040,GC_00000012,CL_0001,Google,High LTV - 25-44,High LTV,active,161.85,traffic,"{""geo"": ""English-speaking"", ""age"": ""25-64"", ""exclusions"": ""email_converters_7d""}"
GA_000000041,GC_00000012,CL_0001,Google,Interest - 35+,Interest,active,242.31,purchases,"{""geo"": ""US"", ""age"": ""18-45"", ""exclusions"": ""none""}"
GA_000000042,GC_00000012,CL_0001,Google,Site Visitors - 25-44,Site Visitors,learning,229.70,value,"{""geo"": ""US"", ""age"": ""25-64"", ""exclusions"": ""email_converters_7d""}"
GA_000000043,GC_00000012,CL_0001,Google,Broad - 25-44,Broad,learning,141.35,traffic,"{""geo"": ""Top 10 states"", ""age"": ""21-54"", ""exclusions"": ""none""}"
MA_000000044,MC_00000013,CL_0002,Meta,High LTV - Top States,High LTV,active,409.36,leads,"{""geo"": ""English-speaking"", ""age"": ""18-45"", ""exclusions"": ""recent_buyers_30d""}"
MA_000000045,MC_00000013,CL_0002,Meta,Recent Buyers - US,Recent Buyers,active,610.02,value,"{""geo"": ""English-speaking"", ""age"": ""18-45"", ""exclusions"": ""email_converters_7d""}"
MA_000000046,MC_00000014,CL_0002,Meta,Cart Abandoners - US,Cart Abandoners,paused,337.07,leads,"{""geo"": ""US"", ""age"": ""21-54"", ""exclusions"": ""email_converters_7d""}"
MA_000000047,MC_00000014,CL_0002,Meta,Cart Abandoners - Top States,Cart Abandoners,learning,386.87,leads,"{""geo"": ""US+CA"", ""age"": ""18-45"", ""exclusions"": ""email_converters_7d""}"
MA_000000048,MC_00000014,CL_0002,Meta,Cart Abandoners - US,Cart Abandoners,active,407.45,purchases,"{""geo"": ""Top 10 states"", ""age"": ""25-64"", ""exclusions"": ""none""}"
MA_000000049,MC_00000014,CL_0002,Meta,High LTV - 18-34,High LTV,active,519.00,traffic,"{""geo"": ""US+CA"", ""age"": ""18-45"", ""exclusions"": ""none""}"
MA_000000050,MC_00000014,CL_0002,Meta,Interest - 18-34,Interest,active,425.45,value,"{""geo"": ""Top 10 states"", ""age"": ""18-45"", ""exclusions"": ""none""}"
MA_000000051,MC_00000015,CL_0002,Meta,Lookalike - 25-44,Lookalike,learning,216.66,traffic,"{""geo"": ""English-speaking"", ""age"": ""25-64"", ""exclusions"": ""email_converters_7d""}"
MA_000000052,MC_00000015,CL_0002,Meta,Site Visitors - Top States,Site Visitors,active,203.50,purchases,"{""geo"": ""US+CA"", ""age"": ""25-64"", ""exclusions"": ""none""}"
MA_000000053,MC_00000016,CL_0002,Meta,Site Visitors - 35+,Site Visitors,paused,242.56,purchases,"{""geo"": ""US+CA"", ""age"": ""25-64"", ""exclusions"": ""email_converters_7d""}"
MA_000000054,MC_00000016,CL_0002,Meta,Recent Buyers - 35+,Recent Buyers,active,149.27,traffic,"{""geo"": ""Top 10 states"", ""age"": ""18-45"", ""exclusions"": ""none""}"
MA_000000055,MC_00000017,CL_0002,Meta,Broad - Top States,Broad,active,48.84,purchases,"{""geo"": ""English-speaking"", ""age"": ""21-54"", ""exclusions"": ""recent_buyers_30d""}"
MA_000000056,MC_00000017,CL_0002,Meta,Recent Buyers - US,Recent Buyers,active,27.61,value,"{""geo"": ""US+CA"", ""age"": ""18-45"", ""exclusions"": ""recent_buyers_30d""}"
MA_000000057,MC_00000018,CL_0002,Meta,Broad - US,Broad,active,458.93,value,"{""geo"": ""Top 10 states"", ""age"": ""18-45"", ""exclusions"": ""recent_buyers_30d""}"
MA_000000058,MC_00000018,CL_0002,Meta,Recent Buyers - US,Recent Buyers,active,450.64,value,"{""geo"": ""Top 10 states"", ""age"": ""18-45"", ""exclusions"": ""recent_buyers_30d""}"
MA_000000059,MC_00000018,CL_0002,Meta,Interest - 18-34,Interest,active,718.55,leads,"{""geo"": ""US+CA"", ""age"": ""18-45"", ""exclusions"": ""email_converters_7d""}"
MA_000000060,MC_00000018,CL_0002,Meta,High LTV - 35+,High LTV,active,512.03,value,"{""geo"": ""English-speaking"", ""age"": ""21-54"", ""exclusions"": ""recent_buyers_30d""}"
MA_000000061,MC_00000018,CL_0002,Meta,Site Visitors - 25-44,Site Visitors,active,496.85,leads,"{""geo"": ""US"", ""age"": ""21-54"", ""exclusions"": ""none""}"
MA_000000062,MC_00000019,CL_0002,Meta,Cart Abandoners - Top States,Cart Abandoners,active,92.22,purchases,"{""geo"": ""US+CA"", ""age"": ""18-45"", ""exclusions"": ""none""}"
MA_000000063,MC_00000019,CL_0002,Meta,Cart Abandoners - Top States,Cart Abandoners,active,155.79,value,"{""geo"": ""US+CA"", ""age"": ""25-64"", ""exclusions"": ""recent_buyers_30d""}"
MA_000000064,MC_00000019,CL_0002,Meta,Recent Buyers - 35+,Recent Buyers,active,110.42,traffic,"{""geo"": ""Top 10 states"", ""age"": ""21-54"", ""exclusions"": ""recent_buyers_30d""}"
MA_000000065,MC_00000019,CL_0002,Meta,Recent Buyers - Top States,Recent Buyers,active,92.68,traffic,"{""geo"": ""Top 10 states"", ""age"": ""18-45"", ""exclusions"": ""email_converters_7d""}"
MA_000000066,MC_00000019,CL_0002,Meta,Broad - US,Broad,paused,99.98,value,"{""geo"": ""Top 10 states"", ""age"": ""25-64"", ""exclusions"": ""email_converters_7d""}"
MA_000000067,MC_00000020,CL_0002,Meta,Recent Buyers - 18-34,Recent Buyers,active,616.57,traffic,"{""geo"": ""Top 10 states"", ""age"": ""18-45"", ""exclusions"": ""recent_buyers_30d""}"
MA_000000068,MC_00000020,CL_0002,Meta,High LTV - 18-34,High LTV,learning,592.77,purchases,"{""geo"": ""US"", ""age"": ""18-45"", ""exclusions"": ""recent_buyers_30d""}"
MA_000000069,MC_00000020,CL_0002,Meta,High LTV - 35+,High LTV,paused,481.50,traffic,"{""geo"": ""English-speaking"", ""age"": ""18-45"", ""exclusions"": ""none""}"
MA_000000070,MC_00000020,CL_0002,Meta,Broad - 25-44,Broad,active,909.46,traffic,"{""geo"": ""US+CA"", ""age"": ""18-45"", ""exclusions"": ""recent_buyers_30d""}"
GA_000000071,GC_00000021,CL_0002,Google,Recent Buyers - 18-34,Recent Buyers,active,77.59,leads,"{""geo"": ""US+CA"", ""age"": ""25-64"", ""exclusions"": ""email_converters_7d""}"
GA_000000072,GC_00000021,CL_0002,Google,High LTV - US,High LTV,learning,65.75,traffic,"{""geo"": ""English-speaking"", ""age"": ""21-54"", ""exclusions"": ""recent_buyers_30d""}"
GA_000000073,GC_00000022,CL_0002,Google,Site Visitors - 25-44,Site Visitors,active,262.81,leads,"{""geo"": ""US+CA"", ""age"": ""21-54"", ""exclusions"": ""none""}"
GA_000000074,GC_00000022,CL_0002,Google,Interest - 18-34,Interest,active,478.20,traffic,"{""geo"": ""US+CA"", ""age"": ""21-54"", ""exclusions"": ""email_converters_7d""}"
GA_000000075,GC_00000022,CL_0002,Google,High LTV - Top States,High LTV,active,413.46,value,"{""geo"": ""US+CA"", ""age"": ""18-45"", ""exclusions"": ""email_converters_7d""}"
GA_000000076,GC_00000023,CL_0002,Google,Site Visitors - 18-34,Site Visitors,active,464.99,value,"{""geo"": ""Top 10 states"", ""age"": ""21-54"", ""exclusions"": ""email_converters_7d""}"
GA_000000077,GC_00000023,CL_0002,Google,Recent Buyers - 18-34,Recent Buyers,active,361.50,traffic,"{""geo"": ""US+CA"", ""age"": ""25-64"", ""exclusions"": ""email_converters_7d""}"
GA_000000078,GC_00000023,CL_0002,Google,Cart Abandoners - Top States,Cart Abandoners,active,468.97,purchases,"{""geo"": ""US"", ""age"": ""18-45"", ""exclusions"": ""none""}"
GA_000000079,GC_00000023,CL_0002,Google,Interest - Top States,Interest,active,323.29,value,"{""geo"": ""US+CA"", ""age"": ""18-45"", ""exclusions"": ""recent_buyers_30d""}"
GA_000000080,GC_00000023,CL_0002,Google,Site Visitors - 35+,Site Visitors,active,363.24,leads,"{""geo"": ""Top 10 states"", ""age"": ""18-45"", ""exclusions"": ""email_converters_7d""}"
GA_000000081,GC_00000024,CL_0002,Google,Lookalike - 18-34,Lookalike,active,511.71,purchases,"{""geo"": ""US+CA"", ""age"": ""25-64"", ""exclusions"": ""email_converters_7d""}"
GA_000000082,GC_00000024,CL_0002,Google,Lookalike - US,Lookalike,active,369.21,value,"{""geo"": ""US"", ""age"": ""18-45"", ""exclusions"": ""none""}"
GA_000000083,GC_00000024,CL_0002,Google,High LTV - 35+,High LTV,active,552.49,leads,"{""geo"": ""English-speaking"", ""age"": ""18-45"", ""exclusions"": ""none""}"
GA_000000084,GC_00000024,CL_0002,Google,Broad - 25-44,Broad,active,451.80,leads,"{""geo"": ""Top 10 states"", ""age"": ""21-54"", ""exclusions"": ""none""}"
GA_000000085,GC_00000025,CL_0002,Google,Lookalike - 18-34,Lookalike,active,316.76,value,"{""geo"": ""US+CA"", ""age"": ""18-45"", ""exclusions"": ""email_converters_7d""}"
GA_000000086,GC_00000025,CL_0002,Google,High LTV - Top States,High LTV,active,229.33,purchases,"{""geo"": ""US"", ""age"": ""25-64"", ""exclusions"": ""none""}"
GA_000000087,GC_00000025,CL_0002,Google,Broad - Top States,Broad,active,254.28,traffic,"{""geo"": ""English-speaking"", ""age"": ""18-45"", ""exclusions"": ""recent_buyers_30d""}"
GA_000000088,GC_00000025,CL_0002,Google,High LTV - 25-44,High LTV,active,220.30,purchases,"{""geo"": ""Top 10 states"", ""age"": ""25-64"", ""exclusions"": ""email_converters_7d""}"
GA_000000089,GC_00000025,CL_0002,Google,Recent Buyers - US,Recent Buyers,active,232.42,purchases,"{""geo"": ""US+CA"", ""age"": ""25-64"", ""exclusions"": ""none""}"
GA_000000090,GC_00000026,CL_0002,Google,Interest - US,Interest,active,148.83,purchases,"{""geo"": ""English-speaking"", ""age"": ""25-64"", ""exclusions"": ""none""}"
GA_000000091,GC_00000026,CL_0002,Google,Lookalike - 35+,Lookalike,active,116.17,purchases,"{""geo"": ""Top 10 states"", ""age"": ""21-54"", ""exclusions"": ""email_converters_7d""}"
GA_000000092,GC_00000026,CL_0002,Google,Cart Abandoners - Top States,Cart Abandoners,learning,82.58,value,"{""geo"": ""Top 10 states"", ""age"": ""21-54"", ""exclusions"": ""recent_buyers_30d""}"
GA_000000093,GC_00000026,CL_0002,Google,Lookalike - 25-44,Lookalike,active,83.46,leads,"{""geo"": ""US"", ""age"": ""18-45"", ""exclusions"": ""email_converters_7d""}"
GA_000000094,GC_00000026,CL_0002,Google,Broad - US,Broad,active,147.29,leads,"{""geo"": ""US+CA"", ""age"": ""25-64"", ""exclusions"": ""none""}"
GA_000000095,GC_00000027,CL_0002,Google,Cart Abandoners - US,Cart Abandoners,paused,49.29,traffic,"{""geo"": ""English-speaking"", ""age"": ""21-54"", ""exclusions"": ""recent_buyers_30d""}"
GA_000000096,GC_00000027,CL_0002,Google,Recent Buyers - Top States,Recent Buyers,active,37.43,purchases,"{""geo"": ""Top 10 states"", ""age"": ""21-54"", ""exclusions"": ""email_converters_7d""}"
GA_000000097,GC_00000027,CL_0002,Google,Broad - 35+,Broad,active,59.21,traffic,"{""geo"": ""US"", ""age"": ""18-45"", ""exclusions"": ""none""}"
GA_000000098,GC_00000028,CL_0002,Google,Interest - 35+,Interest,learning,484.20,purchases,"{""geo"": ""US+CA"", ""age"": ""21-54"", ""exclusions"": ""recent_buyers_30d""}"
GA_000000099,GC_00000028,CL_0002,Google,Lookalike - 35+,Lookalike,active,400.67,traffic,"{""geo"": ""English-speaking"", ""age"": ""18-45"", ""exclusions"": ""recent_buyers_30d""}"
GA_000000100,GC_00000028,CL_0002,Google,High LTV - 25-44,High LTV,active,282.79,purchases,"{""geo"": ""English-speaking"", ""age"": ""21-54"", ""exclusions"": ""email_converters_7d""}"
MA_000000101,MC_00000029,CL_0003,Meta,Site Visitors - 35+,Site Visitors,active,339.49,value,"{""geo"": ""US"", ""age"": ""25-64"", ""exclusions"": ""email_converters_7d""}"
MA_000000102,MC_00000029,CL_0003,Meta,Site Visitors - US,Site Visitors,active,402.82,purchases,"{""geo"": ""Top 10 states"", ""age"": ""18-45"", ""exclusions"": ""recent_buyers_30d""}"
MA_000000103,MC_00000029,CL_0003,Meta,High LTV - 18-34,High LTV,active,504.22,value,"{""geo"": ""US+CA"", ""age"": ""21-54"", ""exclusions"": ""email_converters_7d""}"
MA_000000104,MC_00000030,CL_0003,Meta,Lookalike - Top States,Lookalike,paused,924.21,leads,"{""geo"": ""English-speaking"", ""age"": ""18-45"", ""exclusions"": ""recent_buyers_30d""}"
MA_000000105,MC_00000030,CL_0003,Meta,Interest - 18-34,Interest,learning,694.61,traffic,"{""geo"": ""US+CA"", ""age"": ""25-64"", ""exclusions"": ""none""}"
MA_000000106,MC_00000030,CL_0003,Meta,Lookalike - Top States,Lookalike,active,919.58,purchases,"{""geo"": ""Top 10 states"", ""age"": ""25-64"", ""exclusions"": ""none""}"
MA_000000107,MC_00000030,CL_0003,Meta,Site Visitors - 18-34,Site Visitors,learning,1248.69,purchases,"{""geo"": ""English-speaking"", ""age"": ""21-54"", ""exclusions"": ""email_converters_7d""}"
MA_000000108,MC_00000030,CL_0003,Meta,High LTV - 35+,High LTV,active,1120.19,value,"{""geo"": ""English-speaking"", ""age"": ""21-54"", ""exclusions"": ""none""}"
MA_000000109,MC_00000031,CL_0003,Meta,Broad - Top States,Broad,limited,417.02,value,"{""geo"": ""US"", ""age"": ""21-54"", ""exclusions"": ""email_converters_7d""}"
MA_000000110,MC_00000031,CL_0003,Meta,Broad - US,Broad,paused,465.33,traffic,"{""geo"": ""US+CA"", ""age"": ""21-54"", ""exclusions"": ""recent_buyers_30d""}"
MA_000000111,MC_00000031,CL_0003,Meta,Broad - Top States,Broad,paused,522.40,purchases,"{""geo"": ""English-speaking"", ""age"": ""18-45"", ""exclusions"": ""recent_buyers_30d""}"
MA_000000112,MC_00000031,CL_0003,Meta,Cart Abandoners - Top States,Cart Abandoners,active,416.79,purchases,"{""geo"": ""US+CA"", ""age"": ""21-54"", ""exclusions"": ""recent_buyers_30d""}"
MA_000000113,MC_00000032,CL_0003,Meta,Lookalike - 18-34,Lookalike,active,131.43,traffic,"{""geo"": ""US"", ""age"": ""21-54"", ""exclusions"": ""recent_buyers_30d""}"
MA_000000114,MC_00000032,CL_0003,Meta,Interest - Top States,Interest,paused,196.98,value,"{""geo"": ""Top 10 states"", ""age"": ""18-45"", ""exclusions"": ""email_converters_7d""}"
MA_000000115,MC_00000033,CL_0003,Meta,Broad - Top States,Broad,active,303.31,purchases,"{""geo"": ""US+CA"", ""age"": ""18-45"", ""exclusions"": ""recent_buyers_30d""}"
MA_000000116,MC_00000033,CL_0003,Meta,Broad - 25-44,Broad,active,210.79,traffic,"{""geo"": ""English-speaking"", ""age"": ""25-64"", ""exclusions"": ""recent_buyers_30d""}"
MA_000000117,MC_00000033,CL_0003,Meta,Interest - US,Interest,learning,336.25,purchases,"{""geo"": ""English-speaking"", ""age"": ""18-45"", ""exclusions"": ""recent_buyers_30d""}"
MA_000000118,MC_00000033,CL_0003,Meta,Site Visitors - 35+,Site Visitors,active,305.57,purchases,"{""geo"": ""English-speaking"", ""age"": ""25-64"", ""exclusions"": ""recent_buyers_30d""}"
MA_000000119,MC_00000033,CL_0003,Meta,High LTV - 25-44,High LTV,active,275.66,value,"{""geo"": ""US"", ""age"": ""18-45"", ""exclusions"": ""none""}"
MA_000000120,MC_00000034,CL_0003,Meta,Site Visitors - 35+,Site Visitors,learning,596.85,leads,"{""geo"": ""Top 10 states"", ""age"": ""18-45"", ""exclusions"": ""email_converters_7d""}"
MA_000000121,MC_00000034,CL_0003,Meta,Broad - 18-34,Broad,active,840.11,purchases,"{""geo"": ""Top 10 states"", ""age"": ""18-45"", ""exclusions"": ""none""}"
MA_000000122,MC_00000035,CL_0003,Meta,Cart Abandoners - 25-44,Cart Abandoners,active,726.13,value,"{""geo"": ""US+CA"", ""age"": ""18-45"", ""exclusions"": ""recent_buyers_30d""}"
MA_000000123,MC_00000035,CL_0003,Meta,High LTV - 18-34,High LTV,active,772.96,purchases,"{""geo"": ""Top 10 states"", ""age"": ""21-54"", ""exclusions"": ""none""}"
MA_000000124,MC_00000035,CL_0003,Meta,Cart Abandoners - 18-34,Cart Abandoners,active,1008.86,value,"{""geo"": ""English-speaking"", ""age"": ""18-45"", ""exclusions"": ""recent_buyers_30d""}"
MA_000000125,MC_00000035,CL_0003,Meta,Cart Abandoners - 18-34,Cart Abandoners,active,1258.39,traffic,"{""geo"": ""English-speaking"", ""age"": ""25-64"", ""exclusions"": ""none""}"
GA_000000126,GC_00000036,CL_0003,Google,Interest - Top States,Interest,active,264.98,purchases,"{""geo"": ""US+CA"", ""age"": ""25-64"", ""exclusions"": ""recent_buyers_30d""}"
GA_000000127,GC_00000036,CL_0003,Google,Interest - 35+,Interest,paused,342.18,traffic,"{""geo"": ""US+CA"", ""age"": ""21-54"", ""exclusions"": ""recent_buyers_30d""}"
GA_000000128,GC_00000036,CL_0003,Google,Lookalike - 25-44,Lookalike,active,481.14,value,"{""geo"": ""US"", ""age"": ""25-64"", ""exclusions"": ""recent_buyers_30d""}"
GA_000000129,GC_00000036,CL_0003,Google,Recent Buyers - US,Recent Buyers,active,417.87,value,"{""geo"": ""English-speaking"", ""age"": ""21-54"", ""exclusions"": ""recent_buyers_30d""}"
GA_000000130,GC_00000037,CL_0003,Google,Site Visitors - 18-34,Site Visitors,paused,305.09,traffic,"{""geo"": ""US"", ""age"": ""21-54"", ""exclusions"": ""email_converters_7d""}"
GA_000000131,GC_00000037,CL_0003,Google,Cart Abandoners - US,Cart Abandoners,active,405.93,leads,"{""geo"": ""US+CA"", ""age"": ""21-54"", ""exclusions"": ""recent_buyers_30d""}"
GA_000000132,GC_00000037,CL_0003,Google,Interest - 18-34,Interest,active,355.00,leads,"{""geo"": ""Top 10 states"", ""age"": ""21-54"", ""exclusions"": ""none""}"
GA_000000133,GC_00000037,CL_0003,Google,Recent Buyers - 35+,Recent Buyers,active,343.76,leads,"{""geo"": ""English-speaking"", ""age"": ""25-64"", ""exclusions"": ""email_converters_7d""}"
GA_000000134,GC_00000037,CL_0003,Google,Cart Abandoners - US,Cart Abandoners,active,370.28,value,"{""geo"": ""English-speaking"", ""age"": ""18-45"", ""exclusions"": ""none""}"
GA_000000135,GC_00000038,CL_0003,Google,Interest - Top States,Interest,learning,167.04,value,"{""geo"": ""US+CA"", ""age"": ""21-54"", ""exclusions"": ""email_converters_7d""}"
GA_000000136,GC_00000038,CL_0003,Google,Interest - Top States,Interest,active,165.34,purchases,"{""geo"": ""US"", ""age"": ""18-45"", ""exclusions"": ""email_converters_7d""}"
GA_000000137,GC_00000038,CL_0003,Google,Lookalike - 25-44,Lookalike,active,140.22,purchases,"{""geo"": ""US+CA"", ""age"": ""25-64"", ""exclusions"": ""none""}"
GA_000000138,GC_00000039,CL_0003,Google,Lookalike - 18-34,Lookalike,active,202.65,value,"{""geo"": ""Top 10 states"", ""age"": ""18-45"", ""exclusions"": ""none""}"
GA_000000139,GC_00000039,CL_0003,Google,Broad - Top States,Broad,active,147.31,purchases,"{""geo"": ""English-speaking"", ""age"": ""18-45"", ""exclusions"": ""recent_buyers_30d""}"
GA_000000140,GC_00000039,CL_0003,Google,Recent Buyers - 18-34,Recent Buyers,learning,162.54,purchases,"{""geo"": ""US"", ""age"": ""21-54"", ""exclusions"": ""recent_buyers_30d""}"
GA_000000141,GC_00000040,CL_0003,Google,Lookalike - Top States,Lookalike,active,304.34,traffic,"{""geo"": ""US"", ""age"": ""21-54"", ""exclusions"": ""none""}"
GA_000000142,GC_00000040,CL_0003,Google,Interest - Top States,Interest,active,236.53,leads,"{""geo"": ""US"", ""age"": ""25-64"", ""exclusions"": ""email_converters_7d""}"
GA_000000143,GC_00000040,CL_0003,Google,Broad - US,Broad,active,215.87,value,"{""geo"": ""US"", ""age"": ""21-54"", ""exclusions"": ""recent_buyers_30d""}"
GA_000000144,GC_00000040,CL_0003,Google,Recent Buyers - Top States,Recent Buyers,active,224.09,traffic,"{""geo"": ""US"", ""age"": ""18-45"", ""exclusions"": ""recent_buyers_30d""}"
GA_000000145,GC_00000040,CL_0003,Google,High LTV - Top States,High LTV,active,209.76,leads,"{""geo"": ""US+CA"", ""age"": ""25-64"", ""exclusions"": ""email_converters_7d""}"
