edge_id,source_node_type,source_node_id,relationship,target_node_type,target_node_id,weight,evidence_count,last_updated_at
KG_000000000023,Client,CL_0020,similar_to,Client,CL_0049,0.8142,22,2026-06-10 01:15:13
KG_000000000024,Client,CL_0020,similar_to,Client,CL_0011,0.5893,16,2026-06-10 01:15:13
KG_000000000025,Client,CL_0021,similar_to,Client,CL_0046,0.9255,14,2026-06-10 01:15:13
KG_000000000026,Client,CL_0023,similar_to,Client,CL_0009,0.6127,23,2026-06-10 01:15:13
KG_000000000027,Client,CL_0028,similar_to,Client,CL_0002,0.5617,17,2026-06-10 01:15:13
KG_000000000028,Client,CL_0028,similar_to,Client,CL_0038,0.6561,9,2026-06-10 01:15:13
KG_000000000029,Client,CL_0030,similar_to,Client,CL_0004,0.5891,5,2026-06-10 01:15:13
KG_000000000030,Client,CL_0030,similar_to,Client,CL_0058,0.5550,5,2026-06-10 01:15:13
KG_000000000031,Client,CL_0031,similar_to,Client,CL_0013,0.7938,22,2026-06-10 01:15:13
KG_000000000032,Client,CL_0031,similar_to,Client,CL_0015,0.8463,12,2026-06-10 01:15:13
KG_000000000033,Client,CL_0032,similar_to,Client,CL_0045,0.6475,17,2026-06-10 01:15:13
KG_000000000034,Client,CL_0032,similar_to,Client,CL_0047,0.9035,16,2026-06-10 01:15:13
KG_000000000035,Client,CL_0033,similar_to,Client,CL_0003,0.8861,15,2026-06-10 01:15:13
KG_000000000036,Client,CL_0033,similar_to,Client,CL_0017,0.5567,5,2026-06-10 01:15:13
KG_000000000037,Client,CL_0034,similar_to,Client,CL_0043,0.6745,4,2026-06-10 01:15:13
KG_000000000038,Client,CL_0036,similar_to,Client,CL_0042,0.6559,15,2026-06-10 01:15:13
KG_000000000039,Client,CL_0037,similar_to,Client,CL_0030,0.7779,4,2026-06-10 01:15:13
KG_000000000040,Client,CL_0038,similar_to,Client,CL_0057,0.6745,15,2026-06-10 01:15:13
KG_000000000041,Client,CL_0038,similar_to,Client,CL_0028,0.6989,13,2026-06-10 01:15:13
KG_000000000042,Client,CL_0038,similar_to,Client,CL_0002,0.8226,7,2026-06-10 01:15:13
KG_000000000043,Client,CL_0038,similar_to,Client,CL_0040,0.7485,11,2026-06-10 01:15:13
KG_000000000044,Client,CL_0040,similar_to,Client,CL_0002,0.7764,14,2026-06-10 01:15:13
KG_000000000045,Client,CL_0040,similar_to,Client,CL_0038,0.7353,15,2026-06-10 01:15:13
KG_000000000046,Client,CL_0040,similar_to,Client,CL_0057,0.7106,25,2026-06-10 01:15:13
KG_000000000047,Client,CL_0042,similar_to,Client,CL_0036,0.8570,15,2026-06-10 01:15:13
KG_000000000048,Client,CL_0043,similar_to,Client,CL_0034,0.6735,8,2026-06-10 01:15:13
KG_000000000049,Client,CL_0045,similar_to,Client,CL_0032,0.6200,8,2026-06-10 01:15:13
KG_000000000050,Client,CL_0045,similar_to,Client,CL_0047,0.7482,3,2026-06-10 01:15:13
KG_000000000051,Client,CL_0046,similar_to,Client,CL_0021,0.8308,18,2026-06-10 01:15:13
KG_000000000052,Client,CL_0047,similar_to,Client,CL_0045,0.7749,14,2026-06-10 01:15:13
KG_000000000053,Client,CL_0047,similar_to,Client,CL_0032,0.8693,8,2026-06-10 01:15:13
KG_000000000054,Client,CL_0049,similar_to,Client,CL_0011,0.8323,14,2026-06-10 01:15:13
KG_000000000055,Client,CL_0049,similar_to,Client,CL_0053,0.5767,23,2026-06-10 01:15:13
KG_000000000056,Client,CL_0049,similar_to,Client,CL_0020,0.5715,9,2026-06-10 01:15:13
KG_000000000057,Client,CL_0050,similar_to,Client,CL_0059,0.7897,18,2026-06-10 01:15:13
KG_000000000058,Client,CL_0051,similar_to,Client,CL_0012,0.8849,5,2026-06-10 01:15:13
KG_000000000059,Client,CL_0053,similar_to,Client,CL_0011,0.7596,17,2026-06-10 01:15:13
KG_000000000060,Client,CL_0053,similar_to,Client,CL_0020,0.6593,3,2026-06-10 01:15:13
KG_000000000061,Client,CL_0056,similar_to,Client,CL_0006,0.7520,20,2026-06-10 01:15:13
KG_000000000062,Client,CL_0057,similar_to,Client,CL_0002,0.7991,4,2026-06-10 01:15:13
KG_000000000063,Client,CL_0057,similar_to,Client,CL_0038,0.7245,7,2026-06-10 01:15:13
KG_000000000064,Client,CL_0057,similar_to,Client,CL_0040,0.6887,18,2026-06-10 01:15:13
KG_000000000065,Client,CL_0058,similar_to,Client,CL_0030,0.8832,4,2026-06-10 01:15:13
KG_000000000066,Client,CL_0059,similar_to,Client,CL_0050,0.7577,17,2026-06-10 01:15:13
KG_000000000067,Client,CL_0036,owns_campaign,Campaign,GC_00000434,1.0000,1,2026-06-10 01:15:13
KG_000000000068,Client,CL_0023,owns_campaign,Campaign,MC_00000277,1.0000,1,2026-06-10 01:15:13
KG_000000000069,Client,CL_0032,owns_campaign,Campaign,MC_00000380,1.0000,1,2026-06-10 01:15:13
KG_000000000070,Client,CL_0046,owns_campaign,Campaign,MC_00000558,1.0000,1,2026-06-10 01:15:13
KG_000000000071,Client,CL_0055,owns_campaign,Campaign,GC_00000674,1.0000,1,2026-06-10 01:15:13
KG_000000000072,Client,CL_0023,owns_campaign,Campaign,GC_00000282,1.0000,1,2026-06-10 01:15:13
KG_000000000073,Client,CL_0002,owns_campaign,Campaign,MC_00000014,1.0000,1,2026-06-10 01:15:13
KG_000000000074,Client,CL_0053,owns_campaign,Campaign,MC_00000648,1.0000,1,2026-06-10 01:15:13
KG_000000000075,Client,CL_0059,owns_campaign,Campaign,GC_00000730,1.0000,1,2026-06-10 01:15:13
KG_000000000076,Client,CL_0028,owns_campaign,Campaign,GC_00000334,1.0000,1,2026-06-10 01:15:13
KG_000000000077,Client,CL_0055,owns_campaign,Campaign,MC_00000669,1.0000,1,2026-06-10 01:15:13
KG_000000000078,Client,CL_0033,owns_campaign,Campaign,MC_00000390,1.0000,1,2026-06-10 01:15:13
KG_000000000079,Client,CL_0048,owns_campaign,Campaign,GC_00000589,1.0000,1,2026-06-10 01:15:13
KG_000000000080,Client,CL_0029,owns_campaign,Campaign,GC_00000348,1.0000,1,2026-06-10 01:15:13
KG_000000000081,Client,CL_0034,owns_campaign,Campaign,MC_00000404,1.0000,1,2026-06-10 01:15:13
KG_000000000082,Client,CL_0059,owns_campaign,Campaign,GC_00000732,1.0000,1,2026-06-10 01:15:13
KG_000000000083,Client,CL_0008,owns_campaign,Campaign,MC_00000091,1.0000,1,2026-06-10 01:15:13
KG_000000000084,Client,CL_0012,owns_campaign,Campaign,MC_00000141,1.0000,1,2026-06-10 01:15:13
KG_000000000085,Client,CL_0035,owns_campaign,Campaign,MC_00000413,1.0000,1,2026-06-10 01:15:13
KG_000000000086,Client,CL_0051,owns_campaign,Campaign,GC_00000628,1.0000,1,2026-06-10 01:15:13
KG_000000000087,Client,CL_0028,owns_campaign,Campaign,MC_00000330,1.0000,1,2026-06-10 01:15:13
KG_000000000088,Client,CL_0037,owns_campaign,Campaign,GC_00000442,1.0000,1,2026-06-10 01:15:13
KG_000000000089,Client,CL_0015,owns_campaign,Campaign,GC_00000181,1.0000,1,2026-06-10 01:15:13
KG_000000000090,Client,CL_0014,owns_campaign,Campaign,GC_00000168,1.0000,1,2026-06-10 01:15:13
KG_000000000091,Client,CL_0008,owns_campaign,Campaign,MC_00000092,1.0000,1,2026-06-10 01:15:13
KG_000000000092,Client,CL_0026,owns_campaign,Campaign,MC_00000306,1.0000,1,2026-06-10 01:15:13
KG_000000000093,Client,CL_0042,owns_campaign,Campaign,MC_00000504,1.0000,1,2026-06-10 01:15:13
KG_000000000094,Client,CL_0045,owns_campaign,Campaign,GC_00000551,1.0000,1,2026-06-10 01:15:13
KG_000000000095,Client,CL_0041,owns_campaign,Campaign,MC_00000488,1.0000,1,2026-06-10 01:15:13
KG_000000000096,Client,CL_0009,owns_campaign,Campaign,MC_00000101,1.0000,1,2026-06-10 01:15:13
KG_000000000097,Client,CL_0003,owns_campaign,Campaign,MC_00000033,1.0000,1,2026-06-10 01:15:13
KG_000000000098,Client,CL_0019,owns_campaign,Campaign,GC_00000238,1.0000,1,2026-06-10 01:15:13
KG_000000000099,Client,CL_0050,owns_campaign,Campaign,GC_00000613,1.0000,1,2026-06-10 01:15:13
KG_000000000100,Client,CL_0042,owns_campaign,Campaign,MC_00000503,1.0000,1,2026-06-10 01:15:13
KG_000000000101,Client,CL_0030,owns_campaign,Campaign,GC_00000365,1.0000,1,2026-06-10 01:15:13
KG_000000000102,Client,CL_0036,owns_campaign,Campaign,MC_00000423,1.0000,1,2026-06-10 01:15:13
KG_000000000103,Client,CL_0009,owns_campaign,Campaign,GC_00000106,1.0000,1,2026-06-10 01:15:13
KG_000000000104,Client,CL_0001,owns_campaign,Campaign,GC_00000007,1.0000,1,2026-06-10 01:15:13
KG_000000000105,Client,CL_0043,owns_campaign,Campaign,MC_00000513,1.0000,1,2026-06-10 01:15:13
KG_000000000106,Client,CL_0003,owns_campaign,Campaign,GC_00000041,1.0000,1,2026-06-10 01:15:13
KG_000000000107,Client,CL_0009,owns_campaign,Campaign,MC_00000105,1.0000,1,2026-06-10 01:15:13
KG_000000000108,Client,CL_0012,owns_campaign,Campaign,GC_00000149,1.0000,1,2026-06-10 01:15:13
KG_000000000109,Client,CL_0019,owns_campaign,Campaign,MC_00000231,1.0000,1,2026-06-10 01:15:13
KG_000000000110,Client,CL_0010,owns_campaign,Campaign,GC_00000123,1.0000,1,2026-06-10 01:15:13
KG_000000000111,Client,CL_0028,owns_campaign,Campaign,GC_00000338,1.0000,1,2026-06-10 01:15:13
KG_000000000112,Client,CL_0004,owns_campaign,Campaign,MC_00000047,1.0000,1,2026-06-10 01:15:13
KG_000000000113,Client,CL_0030,owns_campaign,Campaign,MC_00000357,1.0000,1,2026-06-10 01:15:13
KG_000000000114,Client,CL_0045,owns_campaign,Campaign,MC_00000545,1.0000,1,2026-06-10 01:15:13
KG_000000000115,Client,CL_0056,owns_campaign,Campaign,GC_00000693,1.0000,1,2026-06-10 01:15:13
KG_000000000116,Client,CL_0035,owns_campaign,Campaign,MC_00000412,1.0000,1,2026-06-10 01:15:13
KG_000000000117,Client,CL_0009,owns_campaign,Campaign,GC_00000110,1.0000,1,2026-06-10 01:15:13
KG_000000000118,Client,CL_0014,owns_campaign,Campaign,MC_00000166,1.0000,1,2026-06-10 01:15:13
KG_000000000119,Client,CL_0042,owns_campaign,Campaign,GC_00000509,1.0000,1,2026-06-10 01:15:13
KG_000000000120,Client,CL_0028,owns_campaign,Campaign,GC_00000337,1.0000,1,2026-06-10 01:15:13
KG_000000000121,Client,CL_0009,owns_campaign,Campaign,MC_00000104,1.0000,1,2026-06-10 01:15:13
KG_000000000122,Client,CL_0008,owns_campaign,Campaign,MC_00000094,1.0000,1,2026-06-10 01:15:13
KG_000000000123,Client,CL_0027,owns_campaign,Campaign,GC_00000320,1.0000,1,2026-06-10 01:15:13
KG_000000000124,Client,CL_0033,owns_campaign,Campaign,MC_00000394,1.0000,1,2026-06-10 01:15:13
KG_000000000125,Client,CL_0053,owns_campaign,Campaign,MC_00000649,1.0000,1,2026-06-10 01:15:13
KG_000000000126,Client,CL_0001,owns_campaign,Campaign,MC_00000003,1.0000,1,2026-06-10 01:15:13
KG_000000000127,Client,CL_0057,owns_campaign,Campaign,GC_00000704,1.0000,1,2026-06-10 01:15:13
KG_000000000128,Client,CL_0002,owns_campaign,Campaign,GC_00000025,1.0000,1,2026-06-10 01:15:13
KG_000000000129,Client,CL_0058,owns_campaign,Campaign,GC_00000711,1.0000,1,2026-06-10 01:15:13
KG_000000000130,Client,CL_0012,owns_campaign,Campaign,GC_00000146,1.0000,1,2026-06-10 01:15:13
KG_000000000131,Client,CL_0055,owns_campaign,Campaign,MC_00000666,1.0000,1,2026-06-10 01:15:13
KG_000000000132,Client,CL_0041,owns_campaign,Campaign,GC_00000497,1.0000,1,2026-06-10 01:15:13
KG_000000000133,Client,CL_0050,owns_campaign,Campaign,MC_00000605,1.0000,1,2026-06-10 01:15:13
KG_000000000134,Client,CL_0043,owns_campaign,Campaign,MC_00000518,1.0000,1,2026-06-10 01:15:13
KG_000000000135,Client,CL_0024,owns_campaign,Campaign,GC_00000291,1.0000,1,2026-06-10 01:15:13
KG_000000000136,Client,CL_0039,owns_campaign,Campaign,MC_00000461,1.0000,1,2026-06-10 01:15:13
KG_000000000137,Client,CL_0022,owns_campaign,Campaign,MC_00000260,1.0000,1,2026-06-10 01:15:13
KG_000000000138,Client,CL_0048,owns_campaign,Campaign,GC_00000588,1.0000,1,2026-06-10 01:15:13
KG_000000000139,Client,CL_0033,owns_campaign,Campaign,MC_00000393,1.0000,1,2026-06-10 01:15:13
KG_000000000140,Client,CL_0040,owns_campaign,Campaign,MC_00000473,1.0000,1,2026-06-10 01:15:13
KG_000000000141,Client,CL_0042,owns_campaign,Campaign,MC_00000501,1.0000,1,2026-06-10 01:15:13
KG_000000000142,Client,CL_0020,owns_campaign,Campaign,MC_00000239,1.0000,1,2026-06-10 01:15:13
KG_000000000143,Client,CL_0027,owns_campaign,Campaign,MC_00000315,1.0000,1,2026-06-10 01:15:13
KG_000000000144,Client,CL_0008,owns_campaign,Campaign,MC_00000090,1.0000,1,2026-06-10 01:15:13
KG_000000000145,Client,CL_0044,owns_campaign,Campaign,MC_00000527,1.0000,1,2026-06-10 01:15:13
KG_000000000146,Client,CL_0035,owns_campaign,Campaign,GC_00000418,1.0000,1,2026-06-10 01:15:13
KG_000000000147,Client,CL_0058,owns_campaign,Campaign,MC_00000707,1.0000,1,2026-06-10 01:15:13
KG_000000000148,Client,CL_0017,owns_campaign,Campaign,MC_00000198,1.0000,1,2026-06-10 01:15:13
KG_000000000149,Client,CL_0008,owns_campaign,Campaign,GC_00000098,1.0000,1,2026-06-10 01:15:13
KG_000000000150,Client,CL_0028,owns_campaign,Campaign,MC_00000327,1.0000,1,2026-06-10 01:15:13
KG_000000000151,Client,CL_0019,owns_campaign,Campaign,GC_00000236,1.0000,1,2026-06-10 01:15:13
KG_000000000152,Client,CL_0015,owns_campaign,Campaign,GC_00000179,1.0000,1,2026-06-10 01:15:13
KG_000000000153,Client,CL_0013,owns_campaign,Campaign,MC_00000152,1.0000,1,2026-06-10 01:15:13
KG_000000000154,Client,CL_0006,owns_campaign,Campaign,MC_00000072,1.0000,1,2026-06-10 01:15:13
KG_000000000155,Client,CL_0013,owns_campaign,Campaign,GC_00000158,1.0000,1,2026-06-10 01:15:13
KG_000000000156,Client,CL_0049,owns_campaign,Campaign,GC_00000600,1.0000,1,2026-06-10 01:15:13
KG_000000000157,Client,CL_0035,owns_campaign,Campaign,MC_00000411,1.0000,1,2026-06-10 01:15:13
KG_000000000158,Client,CL_0039,owns_campaign,Campaign,MC_00000462,1.0000,1,2026-06-10 01:15:13
KG_000000000159,Client,CL_0002,owns_campaign,Campaign,GC_00000027,1.0000,1,2026-06-10 01:15:13
KG_000000000160,Client,CL_0033,owns_campaign,Campaign,MC_00000392,1.0000,1,2026-06-10 01:15:13
KG_000000000161,Client,CL_0023,owns_campaign,Campaign,GC_00000279,1.0000,1,2026-06-10 01:15:13
KG_000000000162,Client,CL_0055,owns_campaign,Campaign,MC_00000667,1.0000,1,2026-06-10 01:15:13
KG_000000000163,Client,CL_0038,owns_campaign,Campaign,MC_00000446,1.0000,1,2026-06-10 01:15:13
KG_000000000164,Client,CL_0026,owns_campaign,Campaign,GC_00000311,1.0000,1,2026-06-10 01:15:13
KG_000000000165,Client,CL_0035,owns_campaign,Campaign,MC_00000415,1.0000,1,2026-06-10 01:15:13
KG_000000000166,Client,CL_0019,owns_campaign,Campaign,MC_00000230,1.0000,1,2026-06-10 01:15:13
KG_000000000167,Client,CL_0015,owns_campaign,Campaign,GC_00000182,1.0000,1,2026-06-10 01:15:13
KG_000000000168,Client,CL_0005,owns_campaign,Campaign,GC_00000066,1.0000,1,2026-06-10 01:15:13
KG_000000000169,Client,CL_0025,owns_campaign,Campaign,MC_00000298,1.0000,1,2026-06-10 01:15:13
KG_000000000170,Client,CL_0002,owns_campaign,Campaign,MC_00000013,1.0000,1,2026-06-10 01:15:13
KG_000000000171,Client,CL_0042,owns_campaign,Campaign,GC_00000508,1.0000,1,2026-06-10 01:15:13
KG_000000000172,Client,CL_0039,owns_campaign,Campaign,MC_00000460,1.0000,1,2026-06-10 01:15:13
KG_000000000173,Client,CL_0044,owns_campaign,Campaign,GC_00000541,1.0000,1,2026-06-10 01:15:13
KG_000000000174,Client,CL_0053,owns_campaign,Campaign,GC_00000653,1.0000,1,2026-06-10 01:15:13
KG_000000000175,Client,CL_0035,owns_campaign,Campaign,MC_00000416,1.0000,1,2026-06-10 01:15:13
KG_000000000176,Client,CL_0012,owns_campaign,Campaign,MC_00000137,1.0000,1,2026-06-10 01:15:13
KG_000000000177,Client,CL_0053,owns_campaign,Campaign,MC_00000645,1.0000,1,2026-06-10 01:15:13
KG_000000000178,Client,CL_0052,owns_campaign,Campaign,GC_00000640,1.0000,1,2026-06-10 01:15:13
KG_000000000179,Client,CL_0056,owns_campaign,Campaign,MC_00000683,1.0000,1,2026-06-10 01:15:13
KG_000000000180,Client,CL_0056,owns_campaign,Campaign,GC_00000692,1.0000,1,2026-06-10 01:15:13
KG_000000000181,Client,CL_0060,owns_campaign,Campaign,MC_00000736,1.0000,1,2026-06-10 01:15:13
KG_000000000182,Client,CL_0055,owns_campaign,Campaign,MC_00000665,1.0000,1,2026-06-10 01:15:13
KG_000000000183,Client,CL_0039,owns_campaign,Campaign,MC_00000458,1.0000,1,2026-06-10 01:15:13
KG_000000000184,Client,CL_0007,owns_campaign,Campaign,MC_00000081,1.0000,1,2026-06-10 01:15:13
KG_000000000185,Client,CL_0005,owns_campaign,Campaign,MC_00000059,1.0000,1,2026-06-10 01:15:13
KG_000000000186,Client,CL_0051,owns_campaign,Campaign,MC_00000622,1.0000,1,2026-06-10 01:15:13
KG_000000000187,Client,CL_0014,owns_campaign,Campaign,MC_00000163,1.0000,1,2026-06-10 01:15:13
KG_000000000188,Client,CL_0005,owns_campaign,Campaign,MC_00000057,1.0000,1,2026-06-10 01:15:13
KG_000000000189,Client,CL_0015,owns_campaign,Campaign,MC_00000178,1.0000,1,2026-06-10 01:15:13
KG_000000000190,Client,CL_0048,owns_campaign,Campaign,MC_00000582,1.0000,1,2026-06-10 01:15:13
KG_000000000191,Client,CL_0001,owns_campaign,Campaign,GC_00000012,1.0000,1,2026-06-10 01:15:13
KG_000000000192,Client,CL_0057,owns_campaign,Campaign,MC_00000698,1.0000,1,2026-06-10 01:15:13
KG_000000000193,Client,CL_0059,owns_campaign,Campaign,MC_00000724,1.0000,1,2026-06-10 01:15:13
KG_000000000194,Client,CL_0045,owns_campaign,Campaign,MC_00000546,1.0000,1,2026-06-10 01:15:13
KG_000000000195,Client,CL_0038,owns_campaign,Campaign,MC_00000450,1.0000,1,2026-06-10 01:15:13
KG_000000000196,Client,CL_0013,owns_campaign,Campaign,MC_00000155,1.0000,1,2026-06-10 01:15:13
KG_000000000197,Client,CL_0043,owns_campaign,Campaign,GC_00000523,1.0000,1,2026-06-10 01:15:13
KG_000000000198,Client,CL_0029,owns_campaign,Campaign,GC_00000354,1.0000,1,2026-06-10 01:15:13
KG_000000000199,Client,CL_0055,owns_campaign,Campaign,MC_00000671,1.0000,1,2026-06-10 01:15:13
KG_000000000200,Client,CL_0056,owns_campaign,Campaign,GC_00000689,1.0000,1,2026-06-10 01:15:13
KG_000000000201,Client,CL_0037,owns_campaign,Campaign,MC_00000437,1.0000,1,2026-06-10 01:15:13
KG_000000000202,Client,CL_0033,owns_campaign,Campaign,MC_00000395,1.0000,1,2026-06-10 01:15:13
KG_000000000203,Client,CL_0049,owns_campaign,Campaign,GC_00000598,1.0000,1,2026-06-10 01:15:13
KG_000000000204,Client,CL_0010,owns_campaign,Campaign,GC_00000126,1.0000,1,2026-06-10 01:15:13
KG_000000000205,Client,CL_0055,owns_campaign,Campaign,GC_00000677,1.0000,1,2026-06-10 01:15:13
KG_000000000206,Client,CL_0004,owns_campaign,Campaign,MC_00000043,1.0000,1,2026-06-10 01:15:13
KG_000000000207,Client,CL_0022,owns_campaign,Campaign,MC_00000264,1.0000,1,2026-06-10 01:15:13
KG_000000000208,Client,CL_0014,owns_campaign,Campaign,GC_00000170,1.0000,1,2026-06-10 01:15:13
KG_000000000209,Client,CL_0040,owns_campaign,Campaign,MC_00000478,1.0000,1,2026-06-10 01:15:13
KG_000000000210,Client,CL_0040,owns_campaign,Campaign,MC_00000476,1.0000,1,2026-06-10 01:15:13
KG_000000000211,Client,CL_0017,owns_campaign,Campaign,MC_00000202,1.0000,1,2026-06-10 01:15:13
KG_000000000212,Client,CL_0005,owns_campaign,Campaign,GC_00000065,1.0000,1,2026-06-10 01:15:13
KG_000000000213,Client,CL_0026,owns_campaign,Campaign,GC_00000314,1.0000,1,2026-06-10 01:15:13
KG_000000000214,Client,CL_0021,owns_campaign,Campaign,GC_00000258,1.0000,1,2026-06-10 01:15:13
KG_000000000215,Client,CL_0051,owns_campaign,Campaign,GC_00000627,1.0000,1,2026-06-10 01:15:13
KG_000000000216,Client,CL_0045,owns_campaign,Campaign,GC_00000550,1.0000,1,2026-06-10 01:15:13
KG_000000000217,Client,CL_0003,owns_campaign,Campaign,GC_00000040,1.0000,1,2026-06-10 01:15:13
KG_000000000218,Client,CL_0017,owns_campaign,Campaign,GC_00000208,1.0000,1,2026-06-10 01:15:13
KG_000000000219,Client,CL_0039,owns_campaign,Campaign,GC_00000467,1.0000,1,2026-06-10 01:15:13
KG_000000000220,Client,CL_0052,owns_campaign,Campaign,GC_00000641,1.0000,1,2026-06-10 01:15:13
KG_000000000221,Client,CL_0030,owns_campaign,Campaign,MC_00000359,1.0000,1,2026-06-10 01:15:13
KG_000000000222,Client,CL_0040,owns_campaign,Campaign,MC_00000474,1.0000,1,2026-06-10 01:15:13
KG_000000000223,Client,CL_0037,owns_campaign,Campaign,MC_00000435,1.0000,1,2026-06-10 01:15:13
KG_000000000224,Client,CL_0006,owns_campaign,Campaign,MC_00000074,1.0000,1,2026-06-10 01:15:13
KG_000000000225,Client,CL_0010,owns_campaign,Campaign,MC_00000121,1.0000,1,2026-06-10 01:15:13
KG_000000000226,Client,CL_0014,owns_campaign,Campaign,MC_00000160,1.0000,1,2026-06-10 01:15:13
KG_000000000227,Client,CL_0011,owns_campaign,Campaign,GC_00000135,1.0000,1,2026-06-10 01:15:13
KG_000000000228,Client,CL_0056,owns_campaign,Campaign,MC_00000681,1.0000,1,2026-06-10 01:15:13
KG_000000000229,Client,CL_0010,owns_campaign,Campaign,MC_00000114,1.0000,1,2026-06-10 01:15:13
KG_000000000230,Client,CL_0043,owns_campaign,Campaign,GC_00000521,1.0000,1,2026-06-10 01:15:13
KG_000000000231,Client,CL_0026,owns_campaign,Campaign,GC_00000309,1.0000,1,2026-06-10 01:15:13
KG_000000000232,Client,CL_0050,owns_campaign,Campaign,GC_00000614,1.0000,1,2026-06-10 01:15:13
KG_000000000233,Client,CL_0006,owns_campaign,Campaign,MC_00000071,1.0000,1,2026-06-10 01:15:13
KG_000000000234,Client,CL_0052,owns_campaign,Campaign,GC_00000643,1.0000,1,2026-06-10 01:15:13
KG_000000000235,Client,CL_0012,owns_campaign,Campaign,MC_00000140,1.0000,1,2026-06-10 01:15:13
KG_000000000236,Client,CL_0028,owns_campaign,Campaign,MC_00000328,1.0000,1,2026-06-10 01:15:13
KG_000000000237,Client,CL_0005,owns_campaign,Campaign,MC_00000062,1.0000,1,2026-06-10 01:15:13
KG_000000000238,Client,CL_0043,owns_campaign,Campaign,MC_00000514,1.0000,1,2026-06-10 01:15:13
KG_000000000239,Client,CL_0043,owns_campaign,Campaign,MC_00000515,1.0000,1,2026-06-10 01:15:13
KG_000000000240,Client,CL_0060,owns_campaign,Campaign,GC_00000737,1.0000,1,2026-06-10 01:15:13
KG_000000000241,Client,CL_0037,owns_campaign,Campaign,GC_00000443,1.0000,1,2026-06-10 01:15:13
KG_000000000242,Client,CL_0007,owns_campaign,Campaign,GC_00000085,1.0000,1,2026-06-10 01:15:13
KG_000000000243,Client,CL_0052,owns_campaign,Campaign,MC_00000635,1.0000,1,2026-06-10 01:15:13
KG_000000000244,Client,CL_0057,owns_campaign,Campaign,GC_00000703,1.0000,1,2026-06-10 01:15:13
KG_000000000245,Client,CL_0002,owns_campaign,Campaign,MC_00000018,1.0000,1,2026-06-10 01:15:13
KG_000000000246,Client,CL_0025,owns_campaign,Campaign,MC_00000297,1.0000,1,2026-06-10 01:15:13
KG_000000000247,Client,CL_0025,owns_campaign,Campaign,MC_00000296,1.0000,1,2026-06-10 01:15:13
KG_000000000248,Client,CL_0039,owns_campaign,Campaign,GC_00000470,1.0000,1,2026-06-10 01:15:13
KG_000000000249,Client,CL_0001,owns_campaign,Campaign,GC_00000010,1.0000,1,2026-06-10 01:15:13
KG_000000000250,Client,CL_0029,owns_campaign,Campaign,GC_00000351,1.0000,1,2026-06-10 01:15:13
KG_000000000251,Client,CL_0037,owns_campaign,Campaign,MC_00000438,1.0000,1,2026-06-10 01:15:13
KG_000000000252,Client,CL_0029,owns_campaign,Campaign,GC_00000353,1.0000,1,2026-06-10 01:15:13
KG_000000000253,Client,CL_0042,owns_campaign,Campaign,GC_00000510,1.0000,1,2026-06-10 01:15:13
KG_000000000254,Client,CL_0030,owns_campaign,Campaign,GC_00000362,1.0000,1,2026-06-10 01:15:13
